Săraca/ADJ,găină/NOUN,sură/ADJ
repercusiuni/NOUN,negative/ADJ,inacceptabile/ADJ
repercusiuni/NOUN,negative/ADJ,grave/ADJ
Spațiul/NOUN,Economic/ADJ,European/ADJ
beneficii/NOUN,economice/ADJ,viitoare/ADJ
situații/NOUN,financiare/ADJ,consolidate/ADJ
situații/NOUN,financiare/ADJ,individuale/ADJ
Autoritățile/NOUN,ruse/ADJ,competente/ADJ
organismului/NOUN,plătitor/ADJ,competent/ADJ
bunele/ADJ,practici/NOUN,inginerești/ADJ
agenției/NOUN,plătitoare/ADJ,competente/ADJ
lanțului/NOUN,alimentar/ADJ,uman/ADJ
instrumente/NOUN,financiare/ADJ,identificate/ADJ
celule/NOUN,fluorescente/ADJ,caracteristice/ADJ
moștenirea/NOUN,culturală/ADJ,comunitară/ADJ
adevăratul/ADJ,eveniment/NOUN,sufletesc/ADJ
întreaga/ADJ,activitate/NOUN,literară/ADJ
veșnică/ADJ,pândă/NOUN,bibliografică/ADJ
întreaga/ADJ,operă/NOUN,ciceroniană/ADJ
simplă/ADJ,dezvoltare/NOUN,logică/ADJ
existențele/NOUN,matematice/ADJ,incluse/ADJ
rețelei/NOUN,hidrografice/ADJ,minore/ADJ
Harta/NOUN,italiană/ADJ,anonimă/ADJ
Seminarul/NOUN,Pedagogic/ADJ,Universitar/ADJ
adevărurile/NOUN,experimentale/ADJ,dobândite/ADJ
raționamente/NOUN,canonice/ADJ,noi/ADJ
forță/NOUN,polițienească/ADJ,eficientă/ADJ
susținută/ADJ,vigilență/NOUN,sanitară/ADJ
frumoasă/ADJ,victorie/NOUN,profilactică/ADJ
societate/NOUN,umană/ADJ,sănătoasă/ADJ
apă/NOUN,împuțită/ADJ,verzuie/ADJ
mare/ADJ,stimă/NOUN,literară/ADJ
lucrare/NOUN,hidrotehnică/ADJ,ingenioasă/ADJ
culoare/NOUN,strălucitoare/ADJ,alb-roz/ADJ
regimul/NOUN,alimentar/ADJ,potrivit/ADJ
Consiliul/NOUN,medical/ADJ,superior/ADJ
rinichi/NOUN,unic/ADJ,funcțional/ADJ
diferitele/ADJ,segmente/NOUN,cutanate/ADJ
căile/NOUN,urinare/ADJ,inferioare/ADJ
Caracterul/NOUN,paroxistic/ADJ,intermitent/ADJ
debitului/NOUN,sanguin/ADJ,renal/ADJ
obstrucții/NOUN,ureterale/ADJ,acute/ADJ
debitului/NOUN,sanguin/ADJ,renal/ADJ
evoluție/NOUN,post-operatorie/ADJ,favorabilă/ADJ
protecție/NOUN,antibiotică/ADJ,preventivă/ADJ
examenul/NOUN,microbiologic/ADJ,repetat/ADJ
fenomenelor/NOUN,inflamatorii/ADJ,acute/ADJ
potențial/NOUN,letal/ADJ,crescut/ADJ
entitate/NOUN,clinică/ADJ,nouă/ADJ
tractul/NOUN,respirator/ADJ,inferior/ADJ
schema/NOUN,terapeutică/ADJ,inițială/ADJ
cateter/NOUN,venos/ADJ,central/ADJ
cateter/NOUN,venos/ADJ,central/ADJ
diferite/ADJ,focare/NOUN,infecțioase/ADJ
cateterului/NOUN,vascular/ADJ,central/ADJ
infecțiilor/NOUN,urinare/ADJ,nozocomiale/ADJ
infecțiile/NOUN,urinare/ADJ,intraspitalicești/ADJ
tratamentului/NOUN,empiric/ADJ,antiinfecțios/ADJ
agentului/NOUN,infecțios/ADJ,izolat/ADJ
infecțiile/NOUN,nozocomiale/ADJ,severe/ADJ
efecte/NOUN,toxice/ADJ,sistemice/ADJ
intervenție/NOUN,terapeutică/ADJ,imediată/ADJ
sistemului/NOUN,nervos/ADJ,central/ADJ
constituenți/NOUN,celulari/ADJ,organici/ADJ
conductanță/NOUN,membranară/ADJ,mare/ADJ
anioni/NOUN,organici/ADJ,nedifuzibili/ADJ
diferiți/ADJ,curenți/NOUN,ionici/ADJ
Principalii/ADJ,curenți/NOUN,ionici/ADJ
fibrelor/NOUN,ventriculare/ADJ,endocardice/ADJ
gradientului/NOUN,electrochimic/ADJ,existent/ADJ
perioadei/NOUN,refractare/ADJ,absolute/ADJ
perioada/NOUN,refractară/ADJ,absolută/ADJ
perioada/NOUN,refractară/ADJ,relativă/ADJ
faza/NOUN,refractară/ADJ,efectivă/ADJ
faza/NOUN,refractară/ADJ,relativă/ADJ
nivel/NOUN,funcțional/ADJ,energetic/ADJ
arsenal/NOUN,terapeutic/ADJ,sărac/ADJ
efect/NOUN,climatoterapic/ADJ,sedativ/ADJ
nou/ADJ,domeniu/NOUN,terapeutic/ADJ
aportul/NOUN,vascular/ADJ,cerebral/ADJ
efect/NOUN,terapeutic/ADJ,adjuvant/ADJ
procesele/NOUN,psihice/ADJ,normale/ADJ
Dimensiunea/NOUN,etiologică/ADJ,chimică/ADJ
episoadele/NOUN,delirante/ADJ,acute/ADJ
funcțiilor/NOUN,vegetative/ADJ,neuromusculare/ADJ
sistemului/NOUN,nervos/ADJ,vegetativ/ADJ
universul/NOUN,specific/ADJ,uman/ADJ
dușurile/NOUN,calde/ADJ,sedative/ADJ
dimensiunea/NOUN,energetică/ADJ,izolată/ADJ
foste/ADJ,oficialități/NOUN,comuniste/ADJ
anume/ADJ,sălbăticie/NOUN,calculată/ADJ
caracter/NOUN,temperat/ADJ,continental/ADJ
Biserica/NOUN,Ortodoxă/ADJ,Română/ADJ
principala/ADJ,instituție/NOUN,religioasă/ADJ
Transportul/NOUN,fluvial/ADJ,românesc/ADJ
evoluției/NOUN,istorice/ADJ,distincte/ADJ
tendințele/NOUN,culturale/ADJ,europene/ADJ
marea/ADJ,poezie/NOUN,europeană/ADJ
muzică/NOUN,cultă/ADJ,laică/ADJ
Statului/NOUN,Major/ADJ,General/ADJ
caracter/NOUN,continental/ADJ,pronunțat/ADJ
muzeu/NOUN,literar/ADJ,memorial/ADJ
centru/NOUN,economic/ADJ,important/ADJ
climatele/NOUN,continentale/ADJ,aspre/ADJ
Institutului/NOUN,Meteorologic/ADJ,Central/ADJ
mijloace/NOUN,financiare/ADJ,proprii/ADJ
Unitatea/NOUN,Administrativ/ADJ,Teritorială/ADJ
profund/ADJ,declin/NOUN,economic/ADJ
reale/ADJ,reforme/NOUN,structurale/ADJ
Salariul/NOUN,mediu/ADJ,brut/ADJ
statelor/NOUN,necomunitare/ADJ,vecine/ADJ
apele/NOUN,fluviale/ADJ,internaționale/ADJ
atracții/NOUN,turistice/ADJ,naturale/ADJ
principalele/ADJ,centre/NOUN,turistice/ADJ
activitate/NOUN,turistică/ADJ,dinamică/ADJ
Regiune/NOUN,montană/ADJ,pitorească/ADJ
patrimoniul/NOUN,turistic/ADJ,mondial/ADJ
documentației/NOUN,minime/ADJ,păstrate/ADJ
Statul/NOUN,Major/ADJ,General/ADJ
Aviația/NOUN,militară/ADJ,română/ADJ
structuri/NOUN,navale/ADJ,unitare/ADJ
joc/NOUN,sportiv/ADJ,național/ADJ
fotbaliștii/NOUN,români/ADJ,celebri/ADJ
campionatele/NOUN,feminine/ADJ,europene/ADJ
Campionatele/NOUN,Mondiale/ADJ,Universitare/ADJ
bornă/NOUN,kilometrică/ADJ,romană/ADJ
numele/NOUN,vechi/ADJ,românesc/ADJ
presupusa/ADJ,Biserică/NOUN,armeană/ADJ
Temperatura/NOUN,maximă/ADJ,înregistrată/ADJ
Fundației/NOUN,Culturale/ADJ,Regale/ADJ
Biblioteca/NOUN,Centrală/ADJ,Universitară/ADJ
Principalele/ADJ,campusuri/NOUN,studențești/ADJ
numeroase/ADJ,centre/NOUN,comerciale/ADJ
mare/ADJ,valoare/NOUN,istorică/ADJ
misiuni/NOUN,diplomatice/ADJ,permanente/ADJ
extinderea/NOUN,teritorială/ADJ,maximă/ADJ
asemenea/ADJ,radiațiilor/NOUN,luminoase/ADJ
orbite/NOUN,circulare/ADJ,staționare/ADJ
pătură/NOUN,electronică/ADJ,interioară/ADJ
nivelului/NOUN,energetic/ADJ,liber/ADJ
păturile/NOUN,electronice/ADJ,exterioare/ADJ
numere/NOUN,reale/ADJ,pozitive/ADJ
spațiile/NOUN,prehilbertiene/ADJ,complete/ADJ
Spațiile/NOUN,normate/ADJ,complete/ADJ
numerelor/NOUN,raționale/ADJ,pozitive/ADJ
spațiul/NOUN,vectorial/ADJ,corespunzător/ADJ
fracția/NOUN,ireductibilă/ADJ,corespunzătoare/ADJ
persoanelor/NOUN,juridice/ADJ,îndreptățite/ADJ
eșantion/NOUN,probabilist/ADJ,aleator/ADJ
eșantion/NOUN,aleator/ADJ,simplu/ADJ
eșantion/NOUN,probabilist/ADJ,aleator/ADJ
deviația/NOUN,medie/ADJ,absolută/ADJ
Deviația/NOUN,medie/ADJ,absolută/ADJ
Crucea/NOUN,Roșie/ADJ,Română/ADJ
date/NOUN,statistice/ADJ,distincte/ADJ
Domeniul/NOUN,schiabil/ADJ,existent/ADJ
venitul/NOUN,lunar/ADJ,asigurat/ADJ
fonduri/NOUN,externe/ADJ,nerambursabile/ADJ
fonduri/NOUN,structurale/ADJ,nerambursabile/ADJ
suficiente/ADJ,abilități/NOUN,lingvistice/ADJ
importante/ADJ,pagube/NOUN,materiale/ADJ
Trupe/NOUN,speciale/ADJ,ruse/ADJ
activitățile/NOUN,nucleare/ADJ,critice/ADJ
nou/ADJ,junghi/NOUN,dureros/ADJ
mișcării/NOUN,islamiste/ADJ,palestiniene/ADJ
fosta/ADJ,putere/NOUN,comunistă/ADJ
guvern/NOUN,conservator/ADJ,polonez/ADJ
soiul/NOUN,pur/ADJ,românesc/ADJ
marelui/ADJ,matematician/NOUN,român/ADJ
întreg/ADJ,procesul/NOUN,tehnologic/ADJ
salariul/NOUN,minim/ADJ,brut/ADJ
arterelor/NOUN,rutiere/ADJ,respective/ADJ
diferite/ADJ,țări/NOUN,europene/ADJ
răspuns/NOUN,biologic/ADJ,suboptimal/ADJ
semnalul/NOUN,celular/ADJ,primar/ADJ
fluxul/NOUN,plasmatic/ADJ,renal/ADJ
reabsorbției/NOUN,proximale/ADJ,crescute/ADJ
determinarea/NOUN,ascultatorică/ADJ,repetată/ADJ
diabetului/NOUN,zaharat/ADJ,experimental/ADJ
membranei/NOUN,bazale/ADJ,glomerulare/ADJ
granule/NOUN,secretorii/ADJ,mature/ADJ
greutate/NOUN,moleculară/ADJ,mare/ADJ
greutate/NOUN,moleculară/ADJ,joasă/ADJ
acțiunilor/NOUN,locale/ADJ,metabolice/ADJ
activitate/NOUN,protein-kinazică/ADJ,intrinsecă/ADJ
mecanisme/NOUN,celulare/ADJ,complexe/ADJ
hipertrofia/NOUN,ventriculară/ADJ,stângă/ADJ
bolilor/NOUN,noncardiace/ADJ,cronice/ADJ
insuficiența/NOUN,renală/ADJ,acută/ADJ
accidentul/NOUN,vascular/ADJ,cerebral/ADJ
conduita/NOUN,terapeutică/ADJ,ulterioară/ADJ
echipei/NOUN,terapeutice/ADJ,multidisciplinare/ADJ
evenimente/NOUN,coronariene/ADJ,acute/ADJ
Angioplastia/NOUN,percutană/ADJ,transluminală/ADJ
risc/NOUN,operator/ADJ,crescut/ADJ
anginei/NOUN,cronice/ADJ,stabile/ADJ
stenoză/NOUN,proximală/ADJ,discretă/ADJ
accidente/NOUN,embolice/ADJ,cerebrale/ADJ
infarctul/NOUN,miocardic/ADJ,acut/ADJ
anginei/NOUN,cronice/ADJ,stabile/ADJ
sternotomie/NOUN,mediană/ADJ,limitată/ADJ
enzimă/NOUN,hidrolitică/ADJ,activă/ADJ
angina/NOUN,precoce/ADJ,postinfarct/ADJ
indicație/NOUN,chirurgicală/ADJ,cardiacă/ADJ
chirurgie/NOUN,valvulară/ADJ,concomitentă/ADJ
cale/NOUN,evolutivă/ADJ,fiziopatologică/ADJ
tehnica/NOUN,medicală/ADJ,modernă/ADJ
contractilității/NOUN,miocardice/ADJ,postintervenționale/ADJ
bilanțul/NOUN,preoperator/ADJ,complet/ADJ
strategii/NOUN,preoperatorii/ADJ,certe/ADJ
Lungi/ADJ,perioade/NOUN,asimptomatice/ADJ
stenoze/NOUN,proximale/ADJ,strânse/ADJ
artera/NOUN,coronară/ADJ,nativă/ADJ
intervenții/NOUN,chirurgicale/ADJ,laborioase/ADJ
lanțul/NOUN,respirator/ADJ,mitocondrial/ADJ
factorilor/NOUN,respiratori/ADJ,nucleari/ADJ
Disfuncția/NOUN,renală/ADJ,postoperatorie/ADJ
ateromatoză/NOUN,aortică/ADJ,calcifiantă/ADJ
disfuncții/NOUN,ventriculare/ADJ,severe/ADJ
tratament/NOUN,medical/ADJ,unimodal/ADJ
strânsei/ADJ,corelații/NOUN,etiopatogenice/ADJ
mijloacelor/NOUN,tehnice/ADJ,peroperatorii/ADJ
protecției/NOUN,terapeutice/ADJ,miocardice/ADJ
stenozei/NOUN,valvulare/ADJ,aortice/ADJ
scleroza/NOUN,valvulară/ADJ,aortică/ADJ
anomalii/NOUN,valvulare/ADJ,aortice/ADJ
pattern/NOUN,autosomal/ADJ,dominant/ADJ
stenozei/NOUN,aortice/ADJ,calcificante/ADJ
stenoza/NOUN,aortică/ADJ,degenerativă/ADJ
gradient/NOUN,minim/ADJ,transvalvular/ADJ
gradient/NOUN,presional/ADJ,sistolic/ADJ
sistemul/NOUN,arterial/ADJ,periferic/ADJ
presiunii/NOUN,intraventriculare/ADJ,stângi/ADJ
simptomele/NOUN,cardiace/ADJ,ușoare/ADJ
intervenția/NOUN,chirurgicală/ADJ,promptă/ADJ
moarte/NOUN,subită/ADJ,cardiacă/ADJ
stenoze/NOUN,aortice/ADJ,severe/ADJ
bolii/NOUN,cerebrovasculare/ADJ,concomitente/ADJ
stenoza/NOUN,aortică/ADJ,senilă/ADJ
stenoză/NOUN,severă/ADJ,asimptomatică/ADJ
stenoză/NOUN,aortică/ADJ,ușoară/ADJ
stenozei/NOUN,aortice/ADJ,severe/ADJ
stenozei/NOUN,aortice/ADJ,severe/ADJ
stenoză/NOUN,aortică/ADJ,degenerativă/ADJ
stenoze/NOUN,valvulare/ADJ,fixe/ADJ
tratament/NOUN,medicamentos/ADJ,paliativ/ADJ
bolii/NOUN,aortice/ADJ,primare/ADJ
scleroza/NOUN,calcifiantă/ADJ,aortică/ADJ
regurgitarea/NOUN,aortică/ADJ,periprotetică/ADJ
insuficiență/NOUN,aortică/ADJ,paravalvulară/ADJ
regurgitării/NOUN,aortice/ADJ,ușoare/ADJ
Clasificarea/NOUN,comună/ADJ,etiologică/ADJ
inel/NOUN,valvular/ADJ,mitral/ADJ
valva/NOUN,mitrală/ADJ,posterioară/ADJ
celulelor/NOUN,musculare/ADJ,netede/ADJ
contracția/NOUN,sistolică/ADJ,alterată/ADJ
circulație/NOUN,venoasă/ADJ,pulmonară/ADJ
edem/NOUN,pulmonar/ADJ,acut/ADJ
bronhopneumopatiei/NOUN,obstructive/ADJ,cronice/ADJ
fereastră/NOUN,ecografică/ADJ,slabă/ADJ
numeroase/ADJ,studii/NOUN,prospective/ADJ
disfuncția/NOUN,renală/ADJ,latentă/ADJ
răspunsul/NOUN,hemodinamic/ADJ,particular/ADJ
disfuncției/NOUN,ventriculare/ADJ,preexistente/ADJ
repararea/NOUN,concomitentă/ADJ,tricuspidiană/ADJ
pragului/NOUN,hipoglicemic/ADJ,simptomatic/ADJ
criterii/NOUN,ecocardiografice/ADJ,stricte/ADJ
leziuni/NOUN,cardiace/ADJ,congenitale/ADJ
bolile/NOUN,mitrale/ADJ,degenerative/ADJ
Stenoza/NOUN,aortică/ADJ,degenerativă/ADJ
stafilococ/NOUN,auriu/ADJ,meticilino-rezistent/ADJ
leziunilor/NOUN,valvulare/ADJ,degenerative/ADJ
examen/NOUN,ecocardiografic/ADJ,negativ/ADJ
complicații/NOUN,neurologice/ADJ,embolice/ADJ
tratament/NOUN,anticoagulant/ADJ,cronic/ADJ
accident/NOUN,ischemic/ADJ,cerebral/ADJ
insuficiențele/NOUN,valvulare/ADJ,severe/ADJ
insuficiența/NOUN,cardiacă/ADJ,acută/ADJ
embolismul/NOUN,cerebral/ADJ,major/ADJ
chirurgia/NOUN,cardiacă/ADJ,valvulară/ADJ
Testele/NOUN,preoperatorii/ADJ,standard/ADJ
insuficiența/NOUN,renală/ADJ,postoperatorie/ADJ
regurgitarea/NOUN,aortică/ADJ,progresivă/ADJ
edem/NOUN,pulmonar/ADJ,acut/ADJ
procese/NOUN,patologice/ADJ,agresive/ADJ
fluxului/NOUN,atrioventricular/ADJ,diastolic/ADJ
necesarului/NOUN,energetic/ADJ,cerebral/ADJ
suprafața/NOUN,corporală/ADJ,mare/ADJ
toracotomii/NOUN,minime/ADJ,drepte/ADJ
hipertrofie/NOUN,excentrică/ADJ,adaptativă/ADJ
segmentelor/NOUN,cuspale/ADJ,opuse/ADJ
regurgitarea/NOUN,mitrală/ADJ,postendocarditică/ADJ
aparatului/NOUN,subvalvular/ADJ,mitral/ADJ
disfuncția/NOUN,ventriculară/ADJ,stângă/ADJ
alterării/NOUN,structurale/ADJ,evidente/ADJ
funcției/NOUN,ventriculare/ADJ,stângi/ADJ
infarctele/NOUN,miocardice/ADJ,inferioare/ADJ
bolii/NOUN,cardiace/ADJ,ischemice/ADJ
regurgitare/NOUN,tricuspidiană/ADJ,funcțională/ADJ
orificiului/NOUN,sigmoidian/ADJ,pulmonar/ADJ
orificiului/NOUN,atrioventricular/ADJ,drept/ADJ
risc/NOUN,chirurgical/ADJ,crescut/ADJ
afectarea/NOUN,cardiacă/ADJ,preoperatorie/ADJ
flux/NOUN,central/ADJ,non-turbulent/ADJ
circulații/NOUN,sanguine/ADJ,eficiente/ADJ
funcționalitatea/NOUN,mecanică/ADJ,valvulară/ADJ
potențial/ADJ,risc/NOUN,vital/ADJ
modificările/NOUN,structurale/ADJ,miocitare/ADJ
fibrelor/NOUN,musculare/ADJ,subendocardice/ADJ
bronhopneumopatiei/NOUN,obstructive/ADJ,conice/ADJ
diametrului/NOUN,toracic/ADJ,antero-posterior/ADJ
boala/NOUN,cardiacă/ADJ,ischemică/ADJ
accidente/NOUN,vasculare/ADJ,cardio-embolice/ADJ
hipotensiunii/NOUN,arteriale/ADJ,ortostatice/ADJ
Hipotensiunea/NOUN,arterială/ADJ,ortostatică/ADJ
examen/NOUN,radiologic/ADJ,pulmonar/ADJ
funcția/NOUN,sistolică/ADJ,ventriculară/ADJ
insulinoamele/NOUN,benigne/ADJ,unice/ADJ
regimul/NOUN,dietetic/ADJ,hiposodat/ADJ
Sindromul/NOUN,postprandial/ADJ,idiopatic/ADJ
element/NOUN,prognostic/ADJ,slab/ADJ
Elementele/NOUN,ecocardiografice/ADJ,importante/ADJ
IC/NOUN,cronică/ADJ,agravată/ADJ
injuriei/NOUN,renale/ADJ,ischemice/ADJ
cauză/NOUN,coronariană/ADJ,ischemică/ADJ
următoarele/ADJ,măsuri/NOUN,terapeutice/ADJ
celulelor/NOUN,musculare/ADJ,netede/ADJ
activitate/NOUN,metabolică/ADJ,intensă/ADJ
presiunea/NOUN,arterială/ADJ,sistolică/ADJ
diferitelor/ADJ,fracțiuni/NOUN,lipidice/ADJ
creșterile/NOUN,glicemice/ADJ,previzibile/ADJ
diferiților/ADJ,factori/NOUN,predictibili/ADJ
dezechilibru/NOUN,metabolic/ADJ,cronic/ADJ
Candidoza/NOUN,bucală/ADJ,asimptomatică/ADJ
acoperire/NOUN,antibiotică/ADJ,intensivă/ADJ
terapie/NOUN,topică/ADJ,locală/ADJ
eliminare/NOUN,urinară/ADJ,medie/ADJ
boala/NOUN,coronariană/ADJ,ischemică/ADJ
studii/NOUN,populaționale/ADJ,prospective/ADJ
relație/NOUN,cauzală/ADJ,directă/ADJ
