lokalni/ADJ,pravni/ADJ,osebi/NOUN
lanskih/ADJ,naknadnih/ADJ,volitev/NOUN
morebitnem/ADJ,drugem/ADJ,krogu/NOUN
dvodnevni/ADJ,programski/ADJ,sestanek/NOUN
spodbudne/ADJ,telegramske/ADJ,pozdrave/NOUN
kontinuirane/ADJ,gonilne/ADJ,sile/NOUN
drugih/ADJ,kulturnih/ADJ,praksah/NOUN
ponovnem/ADJ,Kristusovem/ADJ,prihodu/NOUN
prvi/ADJ,teoretični/ADJ,pristopi/NOUN
kibernetičnih/ADJ,komunikacijskih/ADJ,sistemov/NOUN
številnih/ADJ,drugih/ADJ,sociobiologih/NOUN
piransko/ADJ,policijsko/ADJ,postajo/NOUN
dvodnevni/ADJ,uradni/ADJ,obisk/NOUN
prvi/ADJ,uradni/ADJ,obisk/NOUN
prvi/ADJ,nacionalni/ADJ,konferenci/NOUN
Srednji/ADJ,vzgojiteljski/ADJ,šoli/NOUN
prijetnega/ADJ,družinskega/ADJ,ozračja/NOUN
Slovenski/ADJ,komorni/ADJ,zbor/NOUN
morebitnega/ADJ,vnovičnega/ADJ,začetka/NOUN
bližnjevzhodnega/ADJ,mirovnega/ADJ,procesa/NOUN
Izraelski/ADJ,zunanji/ADJ,minister/NOUN
klasične/ADJ,diferencialne/ADJ,zapore/NOUN
različnih/ADJ,cestnih/ADJ,podlagah/NOUN
znosni/ADJ,pogovorni/ADJ,slovenščini/NOUN
tretjeligaško/ADJ,vaško/ADJ,tekmo/NOUN
tirolske/ADJ,alpske/ADJ,doline/NOUN
Novi/ADJ,zlati/ADJ,dobi/NOUN
prvi/ADJ,kolesarski/ADJ,dirki/NOUN
Slovenskem/ADJ,gasilskem/ADJ,muzeju/NOUN
Prva/ADJ,ročna/ADJ,brizgalna/NOUN
presežena/ADJ,predpisana/ADJ,meja/NOUN
novih/ADJ,delovnih/ADJ,mest/NOUN
staro/ADJ,mestno/ADJ,jedro/NOUN
stranski/ADJ,baročni/ADJ,oltar/NOUN
glavni/ADJ,renesančni/ADJ,oltar/NOUN
minulem/ADJ,Martinovem/ADJ,vikendu/NOUN
širšega/ADJ,ptujskega/ADJ,območja/NOUN
uspešnega/ADJ,nadaljnjega/ADJ,poslovanja/NOUN
vodilni/ADJ,marketinški/ADJ,delavci/NOUN
perutninarskega/ADJ,vele/ADJ,podjetja/NOUN
zahtevnem/ADJ,madžarskem/ADJ,trgu/NOUN
zadnjo/ADJ,rešilno/ADJ,bilko/NOUN
slovenskega/ADJ,knjižnega/ADJ,jezika/NOUN
Tartinijevo/ADJ,spominsko/ADJ,sobo/NOUN
Tartinijevi/ADJ,rojstni/ADJ,hiši/NOUN
majhna/ADJ,železna/ADJ,skrinja/NOUN
Slovenske/ADJ,razvojne/ADJ,družbe/NOUN
javnih/ADJ,gospodarskih/ADJ,družbah/NOUN
nominalnega/ADJ,družbenega/ADJ,kapitala/NOUN
bližnjo/ADJ,stanovanjsko/ADJ,hišo/NOUN
visokim/ADJ,uglajenim/ADJ,glasom/NOUN
tamkajšnjem/ADJ,gostinskem/ADJ,lokalu/NOUN
tragična/ADJ,prometna/ADJ,nesreča/NOUN
pravo/ADJ,malo/ADJ,revolucijo/NOUN
dveletni/ADJ,prehodni/ADJ,rok/NOUN
dvojno/ADJ,italijansko/ADJ,zmago/NOUN
sobotni/ADJ,čistilni/ADJ,akciji/NOUN
oprijete/ADJ,dolge/ADJ,hlače/NOUN
moderne/ADJ,kavbojske/ADJ,škornje/NOUN
očarljive/ADJ,rdeče/ADJ,žabice/NOUN
prvotna/ADJ,Snyderjeva/ADJ,klet/NOUN
visok/ADJ,gost/ADJ,plevel/NOUN
določene/ADJ,zakonske/ADJ,predpise/NOUN
večjo/ADJ,socialno/ADJ,varnost/NOUN
preostali/ADJ,delovni/ADJ,zmožnosti/NOUN
novega/ADJ,delovnega/ADJ,mesta/NOUN
drugi/ADJ,vodilni/ADJ,pisci/NOUN
generalni/ADJ,državni/ADJ,tožilki/NOUN
znižanimi/ADJ,kreditnimi/ADJ,ocenami/NOUN
vneto/ADJ,želodčno/ADJ,sluznico/NOUN
slovenskimi/ADJ,nacionalnimi/ADJ,športi/NOUN
kakovostnih/ADJ,mednarodnih/ADJ,turnirjev/NOUN
temeljnih/ADJ,človeških/ADJ,pravic/NOUN
drugih/ADJ,kafilerijskih/ADJ,odpadkov/NOUN
liverpoolskega/ADJ,mestnega/ADJ,sveta/NOUN
ročno/ADJ,baterijsko/ADJ,svetilko/NOUN
posameznih/ADJ,trdovratnejših/ADJ,primerih/NOUN
zborničnih/ADJ,strokovnih/ADJ,služb/NOUN
cestni/ADJ,tovorni/ADJ,promet/NOUN
evropske/ADJ,plavalne/ADJ,zveze/NOUN
letošnje/ADJ,atletske/ADJ,lige/NOUN
nadarjen/ADJ,avstralski/ADJ,filozof/NOUN
veliki/ADJ,mavrični/ADJ,kači/NOUN
prva/ADJ,adventna/ADJ,svetnica/NOUN
odbojne/ADJ,magnetne/ADJ,sile/NOUN
največji/ADJ,prašičji/ADJ,farmi/NOUN
najsodobnejše/ADJ,čistilne/ADJ,naprave/NOUN
slovenskem/ADJ,stanovanjskem/ADJ,trgu/NOUN
galerijski/ADJ,literarni/ADJ,večer/NOUN
Mladinski/ADJ,kulturni/ADJ,center/NOUN
šesti/ADJ,rojstni/ADJ,dan/NOUN
elektronske/ADJ,plesne/ADJ,glasbe/NOUN
končanem/ADJ,zemeljskem/ADJ,romanju/NOUN
kosovska/ADJ,albanska/ADJ,vlada/NOUN
Hrvaški/ADJ,državni/ADJ,vrh/NOUN
vodilnih/ADJ,hrvaških/ADJ,politikov/NOUN
Hrvaška/ADJ,politična/ADJ,desnica/NOUN
odmevne/ADJ,živinorejske/ADJ,sejme/NOUN
ohranjenih/ADJ,stoletnih/ADJ,lip/NOUN
francoski/ADJ,gospodarski/ADJ,časnik/NOUN
Najboljši/ADJ,košarkarski/ADJ,klubi/NOUN
poznih/ADJ,večernih/ADJ,urah/NOUN
velikansko/ADJ,sipinsko/ADJ,območje/NOUN
veliko/ADJ,požarno/ADJ,ogroženost/NOUN
slovenskih/ADJ,vzajemnih/ADJ,skladov/NOUN
nedolžna/ADJ,krajevna/ADJ,nevihta/NOUN
različne/ADJ,administrativne/ADJ,ovire/NOUN
Majhna/ADJ,organizirana/ADJ,skupina/NOUN
veliko/ADJ,neorganizirano/ADJ,skupino/NOUN
prevladujoča/ADJ,oblastna/ADJ,retorika/NOUN
različnih/ADJ,temperaturnih/ADJ,razmerah/NOUN
šibkim/ADJ,električnim/ADJ,šokom/NOUN
prva/ADJ,višjih/ADJ,stopenj/NOUN
poosebljena/ADJ,nebeška/ADJ,luč/NOUN
celotnega/ADJ,premostitvenega/ADJ,objekta/NOUN
zanimivem/ADJ,razstavnem/ADJ,prostoru/NOUN
samodejna/ADJ,vremenska/ADJ,postaja/NOUN
danskega/ADJ,tehnološkega/ADJ,inštituta/NOUN
naslednji/ADJ,temeljni/ADJ,smeri/NOUN
skupni/ADJ,evropski/ADJ,trg/NOUN
zahtevane/ADJ,tehnične/ADJ,zakonodaje/NOUN
visokega/ADJ,srednjega/ADJ,veka/NOUN
odljudnega/ADJ,močvirnega/ADJ,gozda/NOUN
omenjeni/ADJ,osnovni/ADJ,dejavniki/NOUN
razpršena/ADJ,lastniška/ADJ,struktura/NOUN
omejenih/ADJ,dostopnih/ADJ,podatkov/NOUN
pokrajinskih/ADJ,narodnih/ADJ,nošah/NOUN
drugih/ADJ,vodnih/ADJ,živali/NOUN
končani/ADJ,osnovni/ADJ,šoli/NOUN
prostovoljnega/ADJ,gasilskega/ADJ,društva/NOUN
pogodbene/ADJ,sekaške/ADJ,ekipe/NOUN
okrožnemu/ADJ,državnemu/ADJ,tožilstvu/NOUN
črnomaljska/ADJ,kmetijska/ADJ,zadruga/NOUN
lokalni/ADJ,tržni/ADJ,delež/NOUN
dvodnevno/ADJ,poletno/ADJ,gostovanje/NOUN
uglednega/ADJ,jugoslovanskega/ADJ,politika/NOUN
oslabljeno/ADJ,tržno/ADJ,pozicijo/NOUN
Prihodnje/ADJ,šolsko/ADJ,leto/NOUN
suhljata/ADJ,bleda/ADJ,dlan/NOUN
prečne/ADJ,trebušne/ADJ,mišice/NOUN
zajeten/ADJ,programski/ADJ,niz/NOUN
senilnega/ADJ,socrealističnega/ADJ,gledališča/NOUN
sodobnih/ADJ,gledaliških/ADJ,tokovih/NOUN
takratnemu/ADJ,stalnemu/ADJ,režiserju/NOUN
Mirino/ADJ,desno/ADJ,roko/NOUN
Jugoslovanskem/ADJ,dramskem/ADJ,gledališču/NOUN
daljšega/ADJ,Kermaunerjevega/ADJ,besedila/NOUN
Takratni/ADJ,umetniški/ADJ,vodja/NOUN
posamezne/ADJ,turistične/ADJ,poti/NOUN
jugoslovanske/ADJ,rokometne/ADJ,šole/NOUN
bipolarnega/ADJ,političnega/ADJ,sistema/NOUN
zanemarjen/ADJ,stanovanjski/ADJ,blok/NOUN
Dixiejinemu/ADJ,mrtvemu/ADJ,bratu/NOUN
sedanjega/ADJ,akumulacijskega/ADJ,jezera/NOUN
dragocen/ADJ,strokovni/ADJ,svetovalec/NOUN
dodatne/ADJ,varnostne/ADJ,ukrepe/NOUN
tradicionalnem/ADJ,newyorškem/ADJ,maratonu/NOUN
neznanih/ADJ,mimoidočih/ADJ,gledalcev/NOUN
starem/ADJ,mestnem/ADJ,jedru/NOUN
Znamenita/ADJ,konjeniška/ADJ,dirka/NOUN
pristojni/ADJ,davčni/ADJ,organ/NOUN
pogostih/ADJ,časovnih/ADJ,intervalih/NOUN
Sonyjeve/ADJ,prihajajoče/ADJ,konzole/NOUN
novih/ADJ,grafičnih/ADJ,procesorjev/NOUN
omenjeni/ADJ,Intelov/ADJ,procesor/NOUN
same/ADJ,osebne/ADJ,drame/NOUN
tadžikistansko/ADJ,glavno/ADJ,mesto/NOUN
najnižjem/ADJ,hierarhičnem/ADJ,nivoju/NOUN
timske/ADJ,organizacijske/ADJ,strukture/NOUN
potrebni/ADJ,standardni/ADJ,odklon/NOUN
različnih/ADJ,vstopnih/ADJ,kakovosti/NOUN
boljše/ADJ,predvolilne/ADJ,kampanje/NOUN
slovenski/ADJ,potni/ADJ,list/NOUN
slovenskem/ADJ,notranjem/ADJ,ministrstvu/NOUN
daljšo/ADJ,zgornjo/ADJ,čeljust/NOUN
novega/ADJ,genetskega/ADJ,materiala/NOUN
temnejših/ADJ,navpičnih/ADJ,prog/NOUN
Dejaven/ADJ,čustven/ADJ,odnos/NOUN
Cankarjevo/ADJ,navidezno/ADJ,razočaranje/NOUN
značilno/ADJ,temno/ADJ,piko/NOUN
letošnje/ADJ,osrednje/ADJ,dirke/NOUN
Močno/ADJ,žensko/ADJ,osebnost/NOUN
mlado/ADJ,kmečko/ADJ,dekle/NOUN
lastnih/ADJ,psihičnih/ADJ,hib/NOUN
sami/ADJ,nespodobni/ADJ,misli/NOUN
prvo/ADJ,svetovno/ADJ,vojno/NOUN
majhnimi/ADJ,krajnimi/ADJ,usti/NOUN
nesteroidnih/ADJ,protivnetnih/ADJ,zdravil/NOUN
druga/ADJ,javna/ADJ,oseba/NOUN
različnih/ADJ,pojavnih/ADJ,oblikah/NOUN
Človekova/ADJ,negativna/ADJ,čustva/NOUN
številnimi/ADJ,majhnimi/ADJ,zobmi/NOUN
daljšo/ADJ,spodnjo/ADJ,čeljustjo/NOUN
Dosedanji/ADJ,argentinski/ADJ,ukrepi/NOUN
privarčevanih/ADJ,dolarskih/ADJ,sredstev/NOUN
paradnemu/ADJ,proizvodnemu/ADJ,programu/NOUN
nerevidiranih/ADJ,poslovnih/ADJ,poročil/NOUN
angleške/ADJ,kraljeve/ADJ,družine/NOUN
panožno/ADJ,kolektivno/ADJ,pogodbo/NOUN
zadnji/ADJ,hrbtni/ADJ,bodici/NOUN
veliko/ADJ,črno/ADJ,piko/NOUN
črno/ADJ,vzdolžno/ADJ,progo/NOUN
Največje/ADJ,prijetno/ADJ,presenečenje/NOUN
prilagojenimi/ADJ,goltnimi/ADJ,zobmi/NOUN
lahko/ADJ,ribiško/ADJ,opremo/NOUN
slovenske/ADJ,letalske/ADJ,zgodovine/NOUN
Lokalna/ADJ,akcijska/ADJ,skupina/NOUN
Žbogarjevi/ADJ,mehanični/ADJ,delavnici/NOUN
ozkih/ADJ,valovitih/ADJ,prog/NOUN
severnjaške/ADJ,premišljene/ADJ,avantgarde/NOUN
Sodobni/ADJ,krzneni/ADJ,izdelki/NOUN
rumeno/ADJ,črno/ADJ,liso/NOUN
dežurni/ADJ,preiskovalni/ADJ,sodnik/NOUN
Intenzivni/ADJ,migracijski/ADJ,procesi/NOUN
kaotičnem/ADJ,medsebojnem/ADJ,sovraštvu/NOUN
daljšim/ADJ,poletnim/ADJ,večerom/NOUN
bogato/ADJ,življenjsko/ADJ,pot/NOUN
izsušene/ADJ,koreninske/ADJ,grude/NOUN
znameniti/ADJ,romarski/ADJ,poti/NOUN
pohotne/ADJ,rasne/ADJ,lepotice/NOUN
specifičnih/ADJ,izobraževalnih/ADJ,procesih/NOUN
letošnjih/ADJ,največjih/ADJ,turnirjih/NOUN
Velikanski/ADJ,zabaviščni/ADJ,prostor/NOUN
območne/ADJ,obrtne/ADJ,zbornice/NOUN
poklicnega/ADJ,izobraževalnega/ADJ,sistema/NOUN
kvalitetno/ADJ,poklicno/ADJ,izobraževanje/NOUN
višjih/ADJ,strokovnih/ADJ,šolah/NOUN
amortiziranega/ADJ,osebnega/ADJ,avta/NOUN
omenjeno/ADJ,zakonodajno/ADJ,področje/NOUN
novih/ADJ,zakonskih/ADJ,predlogov/NOUN
drugimi/ADJ,zainteresiranimi/ADJ,udeleženci/NOUN
malih/ADJ,gospodarskih/ADJ,družb/NOUN
nove/ADJ,mogoče/ADJ,načine/NOUN
težko/ADJ,petlitrsko/ADJ,steklenico/NOUN
prve/ADJ,informacijske/ADJ,točke/NOUN
bližnje/ADJ,Rečiške/ADJ,planine/NOUN
Velikem/ADJ,Blejskem/ADJ,barju/NOUN
markirani/ADJ,planinski/ADJ,poti/NOUN
navpične/ADJ,izžlebljene/ADJ,robove/NOUN
visokih/ADJ,šotnih/ADJ,barij/NOUN
samostojna/ADJ,učna/ADJ,pot/NOUN
Triglavskega/ADJ,narodnega/ADJ,parka/NOUN
drugimi/ADJ,naprednimi/ADJ,analizami/NOUN
Visoke/ADJ,avgustovske/ADJ,temperature/NOUN
tovrstni/ADJ,aktivni/ADJ,oddih/NOUN
izrazito/ADJ,temno/ADJ,pego/NOUN
izbrani/ADJ,umetni/ADJ,vabi/NOUN
redni/ADJ,tiskovni/ADJ,konferenci/NOUN
najmilejša/ADJ,prisilna/ADJ,sredstva/NOUN
letošnjih/ADJ,najhujših/ADJ,napadov/NOUN
glavna/ADJ,opozicijska/ADJ,skupina/NOUN
splošno/ADJ,evropsko/ADJ,priznanje/NOUN
tamkajšnjih/ADJ,osebnih/ADJ,izkaznic/NOUN
novega/ADJ,operacijskega/ADJ,sistema/NOUN
opisanih/ADJ,sledilnih/ADJ,naprav/NOUN
različnimi/ADJ,živimi/ADJ,vabami/NOUN
ameriški/ADJ,divji/ADJ,zahod/NOUN
Malteški/ADJ,viteški/ADJ,red/NOUN
Svetovni/ADJ,ekonomski/ADJ,forum/NOUN
lahko/ADJ,ribiško/ADJ,opremo/NOUN
drugi/ADJ,svetovni/ADJ,vojni/NOUN
novi/ADJ,sistemski/ADJ,zakon/NOUN
strokovno/ADJ,razvojnih/ADJ,nalog/NOUN
klasičnih/ADJ,mobilnih/ADJ,telefonov/NOUN
pozabljeno/ADJ,kulturno/ADJ,dediščino/NOUN
najrazličnejše/ADJ,čebelarsko/ADJ,orodje/NOUN
prve/ADJ,spravne/ADJ,slovesnosti/NOUN
nova/ADJ,vladna/ADJ,ekipa/NOUN
Lansko/ADJ,šolsko/ADJ,leto/NOUN
tajni/ADJ,policijski/ADJ,sodelavec/NOUN
povišan/ADJ,krvni/ADJ,tlak/NOUN
Zmerni/ADJ,vzdržljivostni/ADJ,športi/NOUN
svobodne/ADJ,gospodarske/ADJ,pobude/NOUN
jamski/ADJ,Koncertni/ADJ,dvorani/NOUN
novo/ADJ,gledališko/ADJ,predstavo/NOUN
Slovenskega/ADJ,mladinskega/ADJ,gledališča/NOUN
prvi/ADJ,knjižni/ADJ,prevod/NOUN
znamenitega/ADJ,istoimenskega/ADJ,dela/NOUN
prvi/ADJ,hrvaški/ADJ,jez/NOUN
ponarejeno/ADJ,italijansko/ADJ,dovoljenje/NOUN
starega/ADJ,turškega/ADJ,dela/NOUN
triladijsko/ADJ,pravoslavno/ADJ,cerkev/NOUN
enostavna/ADJ,nizka/ADJ,zgradba/NOUN
majhni/ADJ,beli/ADJ,oblački/NOUN
gostujočih/ADJ,folklornih/ADJ,skupin/NOUN
prekmursko/ADJ,vinsko/ADJ,kraljico/NOUN
raznih/ADJ,dodatnih/ADJ,programov/NOUN
Splošen/ADJ,skrivnopisni/ADJ,sestav/NOUN
razne/ADJ,druge/ADJ,strokovnjake/NOUN
neupravičena/ADJ,teritorialna/ADJ,pretenzija/NOUN
Badinterjeva/ADJ,arbitražna/ADJ,komisija/NOUN
slovenskih/ADJ,rednih/ADJ,znamkah/NOUN
druge/ADJ,svetovne/ADJ,vojne/NOUN
slovenskih/ADJ,pomožnih/ADJ,poštah/NOUN
državni/ADJ,filatelistični/ADJ,razstavi/NOUN
domačega/ADJ,športnega/ADJ,društva/NOUN
obnovljeno/ADJ,športno/ADJ,igrišče/NOUN
uradni/ADJ,srbski/ADJ,novinarji/NOUN
izkušenih/ADJ,albanskih/ADJ,novinarjev/NOUN
imenovane/ADJ,pozitivne/ADJ,reakcije/NOUN
letošnjega/ADJ,koledarskega/ADJ,leta/NOUN
strokovni/ADJ,gordijski/ADJ,vozel/NOUN
negativne/ADJ,kolektivne/ADJ,lastnosti/NOUN
vrhunske/ADJ,kulturne/ADJ,artikulacije/NOUN
radgonskem/ADJ,kmetijskem/ADJ,sejmu/NOUN
obetavni/ADJ,smučarski/ADJ,skakalec/NOUN
posamične/ADJ,zmagovalne/ADJ,stopničke/NOUN
zasebno/ADJ,lastnino/NOUN,bogatih/ADJ
Prvo/ADJ,povojno/ADJ,leto/NOUN
grobimi/ADJ,strukturnimi/ADJ,delci/NOUN
Poglavitne/ADJ,zunanjepolitične/ADJ,težave/NOUN
schengenski/ADJ,informacijski/ADJ,sistem/NOUN
sleherni/ADJ,vietnamski/ADJ,ribič/NOUN
novoustanovljenega/ADJ,mirovnega/ADJ,komiteja/NOUN
šolskimi/ADJ,zdravstvenimi/ADJ,delavci/NOUN
veliko/ADJ,moralno/ADJ,pomoč/NOUN
prvim/ADJ,generalnim/ADJ,direktorjem/NOUN
prvim/ADJ,programskim/ADJ,direktorjem/NOUN
nekdanje/ADJ,železniške/ADJ,postaje/NOUN
ljubljanski/ADJ,klinični/ADJ,center/NOUN
Ameriško/ADJ,vesoljsko/ADJ,plovilo/NOUN
zadnjo/ADJ,plinsko/ADJ,svetilko/NOUN
posameznih/ADJ,učnih/ADJ,načrtov/NOUN
Največja/ADJ,razpravna/ADJ,dvorana/NOUN
ljubljanskega/ADJ,okrožnega/ADJ,sodišča/NOUN
pristopnih/ADJ,gospodarskih/ADJ,programih/NOUN
predpristopnih/ADJ,gospodarskih/ADJ,programov/NOUN
drugi/ADJ,svetovni/ADJ,vojni/NOUN
drugimi/ADJ,domoljubnimi/ADJ,pesmimi/NOUN
uveljavljene/ADJ,simbolne/ADJ,pomene/NOUN
mračnega/ADJ,Hadovega/ADJ,kraljestva/NOUN
primerne/ADJ,telesne/ADJ,teže/NOUN
večjega/ADJ,komercialnega/ADJ,uspeha/NOUN
Prvi/ADJ,veliki/ADJ,album/NOUN
kitajskega/ADJ,vojaškega/ADJ,voditelja/NOUN
prodnatem/ADJ,rečnem/ADJ,dnu/NOUN
značilne/ADJ,temne/ADJ,pege/NOUN
številne/ADJ,ribojede/ADJ,ptiče/NOUN
značilnem/ADJ,zaokroženem/ADJ,repu/NOUN
dolge/ADJ,nitaste/ADJ,izrastke/NOUN
novi/ADJ,medijski/ADJ,zakonodaji/NOUN
ustrezne/ADJ,sistemske/ADJ,zakonodaje/NOUN
zavodov/ADJ,finančni/ADJ,načrt/NOUN
novi/ADJ,javni/ADJ,zavod/NOUN
miren/ADJ,nočni/ADJ,spanec/NOUN
druge/ADJ,družinske/ADJ,prireditve/NOUN
sama/ADJ,velika/ADJ,dogodivščina/NOUN
vnukovem/ADJ,rojstnem/ADJ,dnevu/NOUN
drugih/ADJ,posebnih/ADJ,priložnostih/NOUN
drugimi/ADJ,starimi/ADJ,starši/NOUN
ameriške/ADJ,vojaške/ADJ,moči/NOUN
staroselskih/ADJ,verskih/ADJ,predstav/NOUN
sam/ADJ,ponosen/ADJ,režanje/NOUN
Begbiejeve/ADJ,bojevite/ADJ,oči/NOUN
uničen/ADJ,imunski/ADJ,sistem/NOUN
tanka/ADJ,snežna/ADJ,prevleka/NOUN
privlačna/ADJ,športna/ADJ,igra/NOUN
Slovenska/ADJ,pravna/ADJ,znanost/NOUN
regionalne/ADJ,razvojne/ADJ,agencije/NOUN
svetovnega/ADJ,nogometnega/ADJ,prvenstva/NOUN
Mednarodna/ADJ,nogometna/ADJ,zveza/NOUN
letošnjega/ADJ,Prešernovega/ADJ,nagrajenca/NOUN
svetovne/ADJ,gospodarske/ADJ,recesije/NOUN
splošnega/ADJ,poslovnega/ADJ,optimizma/NOUN
različnih/ADJ,možnih/ADJ,scenarijih/NOUN
različnih/ADJ,spletnih/ADJ,lokacij/NOUN
zemljevidovo/ADJ,krmilno/ADJ,datoteko/NOUN
zemljevidove/ADJ,krmilne/ADJ,datoteke/NOUN
jesenski/ADJ,vlažni/ADJ,sivini/NOUN
naslednja/ADJ,spletna/ADJ,mesta/NOUN
naprednih/ADJ,spletnih/ADJ,tehnologij/NOUN
osnovnem/ADJ,omrežnem/ADJ,administriranju/NOUN
lokalen/ADJ,skladovni/ADJ,kontekst/NOUN
panevropskega/ADJ,filmskega/ADJ,sklada/NOUN
novogoriškem/ADJ,okrožnem/ADJ,sodišču/NOUN
številna/ADJ,rečna/ADJ,jezera/NOUN
občutljivi/ADJ,vodni/ADJ,sistemi/NOUN
obsežna/ADJ,obdelovalna/ADJ,polja/NOUN
novih/ADJ,učnih/ADJ,vsebin/NOUN
novih/ADJ,socioloških/ADJ,znanj/NOUN
prenovljen/ADJ,motorni/ADJ,menedžment/NOUN
prečna/ADJ,listna/ADJ,vzmet/NOUN
prve/ADJ,motorne/ADJ,sani/NOUN
Haiderjev/ADJ,kulturni/ADJ,svetovalec/NOUN
evropska/ADJ,kulturna/ADJ,središča/NOUN
prejšnjega/ADJ,socialdemokratskega/ADJ,režima/NOUN
skupne/ADJ,trgovinske/ADJ,politike/NOUN
prvega/ADJ,sodnikovega/ADJ,žvižga/NOUN
portugalskim/ADJ,potnim/ADJ,listom/NOUN
preventivnega/ADJ,javnoizobraževalnega/ADJ,projekta/NOUN
naravnimi/ADJ,zeliščnimi/ADJ,sredstvi/NOUN
najvišjem/ADJ,hotelskem/ADJ,nadstropju/NOUN
nosečnostnega/ADJ,oskrbovalnega/ADJ,centra/NOUN
Številne/ADJ,komične/ADJ,situacije/NOUN
tretjo/ADJ,dokumentarno/ADJ,oddajo/NOUN
obveznih/ADJ,dvojezičnih/ADJ,izkaznic/NOUN
mednarodne/ADJ,visoke/ADJ,šole/NOUN
pristojni/ADJ,občinski/ADJ,urad/NOUN
deželnega/ADJ,upravnega/ADJ,sodišča/NOUN
ravenskega/ADJ,trgovske/ADJ,družbe/NOUN
velenjska/ADJ,trgovska/ADJ,družba/NOUN
tujih/ADJ,radijskih/ADJ,postajah/NOUN
dober/ADJ,kratki/ADJ,film/NOUN
Današnji/ADJ,gospodarski/ADJ,sistem/NOUN
evropsko/ADJ,glasbeno/ADJ,komisijo/NOUN
majhnih/ADJ,skalnih/ADJ,otočkih/NOUN
manjši/ADJ,živalski/ADJ,vrt/NOUN
mladinski/ADJ,svetovni/ADJ,naslov/NOUN
edina/ADJ,evropska/ADJ,država/NOUN
sosednjih/ADJ,Martinovih/ADJ,far/NOUN
rumen/ADJ,plastičen/ADJ,pretvornik/NOUN
večletno/ADJ,zaporno/ADJ,kazen/NOUN
japonskemu/ADJ,turističnemu/ADJ,organizatorju/NOUN
trebušasti/ADJ,glineni/ADJ,lonci/NOUN
zgodnje/ADJ,jutranje/ADJ,ure/NOUN
zeleno/ADJ,gensko/ADJ,tehniko/NOUN
evropske/ADJ,parlamentarne/ADJ,volitve/NOUN
dodatne/ADJ,hotelske/ADJ,prostore/NOUN
novih/ADJ,občinskih/ADJ,stanovanj/NOUN
prepoznavne/ADJ,oglasne/ADJ,plakate/NOUN
italijanskega/ADJ,modnega/ADJ,magnata/NOUN
nedvoumno/ADJ,negativno/ADJ,vrednotenje/NOUN
novoveški/ADJ,družbeni/ADJ,zavesti/NOUN
polne/ADJ,nenašminkane/ADJ,ustnice/NOUN
širšem/ADJ,mariborskem/ADJ,območju/NOUN
najvišje/ADJ,koroške/ADJ,gore/NOUN
številne/ADJ,zimske/ADJ,radosti/NOUN
skupno/ADJ,občinsko/ADJ,vajo/NOUN
tradicionalni/ADJ,osmi/ADJ,turnir/NOUN
številni/ADJ,težki/ADJ,slapovi/NOUN
izdanega/ADJ,delovnega/ADJ,dovoljenja/NOUN
mehiškem/ADJ,glavnem/ADJ,mestu/NOUN
ilegalnimi/ADJ,nogometnimi/ADJ,stavami/NOUN
hrvaško/ADJ,glavno/ADJ,mesto/NOUN
letošnjih/ADJ,parlamentarnih/ADJ,volitev/NOUN
neposrednega/ADJ,referendumskega/ADJ,odločanja/NOUN
dvokrožnem/ADJ,večinskem/ADJ,sistemu/NOUN
ustavno/ADJ,volilno/ADJ,ureditev/NOUN
visokega/ADJ,zračnega/ADJ,tlaka/NOUN
posebnih/ADJ,varstvenih/ADJ,območij/NOUN
srbske/ADJ,boleče/ADJ,točke/NOUN
boleče/ADJ,povojno/ADJ,delo/NOUN
različnih/ADJ,ljubezenskih/ADJ,parčkih/NOUN
posamezne/ADJ,lokalne/ADJ,skupnosti/NOUN
vojaška/ADJ,lovska/ADJ,letala/NOUN
Veronikine/ADJ,velikodušne/ADJ,pripravljenosti/NOUN
lastnim/ADJ,apostolskim/ADJ,nalogam/NOUN
lokalnih/ADJ,političnih/ADJ,skupnosti/NOUN
največjega/ADJ,Mogulskega/ADJ,vladarja/NOUN
večletni/ADJ,državljanski/ADJ,vojni/NOUN
obsežen/ADJ,literarni/ADJ,načrt/NOUN
standardizirana/ADJ,lahka/ADJ,vozila/NOUN
neuspelega/ADJ,münhenskega/ADJ,puča/NOUN
Hitlerjeva/ADJ,zunanja/ADJ,politika/NOUN
Darwinove/ADJ,evolucijske/ADJ,teorije/NOUN
klasične/ADJ,sanskrtske/ADJ,književnosti/NOUN
majhni/ADJ,fevdalni/ADJ,plemiči/NOUN
evropske/ADJ,enotne/ADJ,valute/NOUN
evropskimi/ADJ,okoljevarstvenimi/ADJ,smernicami/NOUN
stare/ADJ,verske/ADJ,običaje/NOUN
starih/ADJ,finskih/ADJ,verovanj/NOUN
vaške/ADJ,verske/ADJ,običaje/NOUN
čudovitimi/ADJ,rjavimi/ADJ,lasmi/NOUN
hujši/ADJ,vojni/ADJ,zločin/NOUN
različne/ADJ,telesne/ADJ,meridijane/NOUN
francoskem/ADJ,podeželskem/ADJ,mestecu/NOUN
ekspanzivne/ADJ,ruske/ADJ,moči/NOUN
dvoletnem/ADJ,vojaškem/ADJ,roku/NOUN
lastnih/ADJ,notranjih/ADJ,nasprotij/NOUN
rdeče/ADJ,kamnito/ADJ,drevesce/NOUN
