northern/ADJ,Israeli/ADJ,city/NOUN
little/ADJ,white/ADJ,table/NOUN
Cognitive/ADJ,Digital/ADJ,Games/NOUN
basic/ADJ,visual/ADJ,skills/NOUN
cognitive/ADJ,digital/ADJ,games/NOUN
translucent/ADJ,little/ADJ,head/NOUN
own/ADJ,wet/ADJ,footprints/NOUN
huge/ADJ,goddamn/ADJ,help/NOUN
blue/ADJ,button-down/ADJ,shirt/NOUN
plain/ADJ,white/ADJ,underwear/NOUN
sodden/ADJ,blue/ADJ,spine/NOUN
other/ADJ,brilliant/ADJ,remarks/NOUN
cognitive/ADJ,digital/ADJ,games/NOUN
conventional/ADJ,lexical/ADJ,sign/NOUN
perfect/ADJ,unleavened/ADJ,wafer/NOUN
common/ADJ,black/ADJ,ant/NOUN
big/ADJ,red/ADJ,box/NOUN
open/ADJ,other-initiated/ADJ,repair/NOUN
potential/ADJ,Soviet/ADJ,aggression/NOUN
hostile/ADJ,military/ADJ,alliance/NOUN
phenomenal/ADJ,military/ADJ,power/NOUN
offensive/ADJ,military/ADJ,capacity/NOUN
Western/ADJ,military/ADJ,alliance/NOUN
other/ADJ,military/ADJ,alliance/NOUN
subtle/ADJ,citrus/ADJ,pucker/NOUN
same/ADJ,conversational/ADJ,structure/NOUN
last/ADJ,few/ADJ,months/NOUN
same/ADJ,compound/ADJ,scope/NOUN
other/ADJ,sequential/ADJ,environments/NOUN
only/ADJ,significant/ADJ,finding/NOUN
detailed/ADJ,step-by-step/ADJ,instructions/NOUN
universal/ADJ,how-to/ADJ,manual/NOUN
comprehensive/ADJ,how-to/ADJ,manual/NOUN
insufficient/ADJ,statistical/ADJ,power/NOUN
same/ADJ,virtuous/ADJ,cycle/NOUN
same/ADJ,virtuous/ADJ,circle/NOUN
stronger/ADJ,social/ADJ,orientations/NOUN
many/ADJ,social/ADJ,institutions/NOUN
third/ADJ,important/ADJ,factor/NOUN
superb/ADJ,athletic/ADJ,performances/NOUN
large/ADJ,Canadian/ADJ,tournament/NOUN
few/ADJ,new/ADJ,girls/NOUN
several/ADJ,important/ADJ,factors/NOUN
whole/ADJ,editorial/ADJ,staff/NOUN
hackneyed/ADJ,political/ADJ,humor/NOUN
different/ADJ,creative/ADJ,process/NOUN
many/ADJ,many/ADJ,years/NOUN
Compact/ADJ,Fluorescent/ADJ,Light/NOUN
compact/ADJ,light-emitting/ADJ,diode/NOUN
first/ADJ,solid/ADJ,samples/NOUN
local/ADJ,interstellar/ADJ,medium/NOUN
local/ADJ,interstellar/ADJ,medium/NOUN
global/ADJ,social/ADJ,movement/NOUN
substantive/ADJ,national/ADJ,conversation/NOUN
many/ADJ,key/ADJ,aspects/NOUN
various/ADJ,scattered/ADJ,debris/NOUN
mandatory/ADJ,religious/ADJ,duty/NOUN
major/ADJ,political/ADJ,reforms/NOUN
Other/ADJ,anti-establishment/ADJ,candidates/NOUN
pan-democratic/ADJ,veteran/ADJ,politicians/NOUN
Other/ADJ,pro-Beijing/ADJ,candidates/NOUN
compact/ADJ,fluorescent/ADJ,light/NOUN
pro-Beijing/ADJ,veteran/ADJ,politician/NOUN
traditional/ADJ,functional/ADJ,constituencies/NOUN
new/ADJ,national/ADJ,flag/NOUN
different/ADJ,national/ADJ,flag/NOUN
antiquated/ADJ,10-year-old/ADJ,browser/NOUN
older/ADJ,out-of-date/ADJ,technology/NOUN
central/ADJ,western/ADJ,sector/NOUN
such/ADJ,reckless/ADJ,action/NOUN
few/ADJ,stray/ADJ,photographers/NOUN
several/ADJ,important/ADJ,factors/NOUN
past/ADJ,few/ADJ,days/NOUN
other/ADJ,educational/ADJ,galleries/NOUN
chief/ADJ,financial/ADJ,officer/NOUN
popular/ADJ,American/ADJ,culture/NOUN
other/ADJ,well-known/ADJ,photographers/NOUN
ancient/ADJ,Greek/ADJ,deities/NOUN
ancient/ADJ,Greek/ADJ,religion/NOUN
ancient/ADJ,Greek/ADJ,religions/NOUN
Many/ADJ,neo-pagan/ADJ,religions/NOUN
nice/ADJ,rental/ADJ,vans/NOUN
short/ADJ,easy/ADJ,walk/NOUN
wonderful/ADJ,national/ADJ,treasure/NOUN
major/ADJ,cultural/ADJ,resources/NOUN
effective/ADJ,public-private/ADJ,partnership/NOUN
other/ADJ,first-rate/ADJ,attractions/NOUN
large/ADJ,residential/ADJ,community/NOUN
strong/ADJ,Korean/ADJ,presence/NOUN
warm/ADJ,local/ADJ,atmosphere/NOUN
French/ADJ,overseas/ADJ,department/NOUN
different/ADJ,topological/ADJ,restrictions/NOUN
beautiful/ADJ,still/ADJ,stripe/NOUN
beautiful/ADJ,Caribbean/ADJ,panorama/NOUN
Recent/ADJ,local/ADJ,investment/NOUN
long-standing/ADJ,cultural/ADJ,scene/NOUN
rapid/ADJ,economic/ADJ,growth/NOUN
grand/ADJ,artistic/ADJ,traditions/NOUN
large/ADJ,central/ADJ,market/NOUN
numerous/ADJ,small/ADJ,shops/NOUN
rich/ADJ,cultural/ADJ,life/NOUN
Many/ADJ,free/ADJ,concerts/NOUN
late/ADJ,20th/ADJ,century/NOUN
several/ADJ,large/ADJ,reservoirs/NOUN
year-round/ADJ,irrigated/ADJ,agriculture/NOUN
highest/ADJ,average/ADJ,temperature/NOUN
large/ADJ,Hispanic/ADJ,population/NOUN
breathtaking/ADJ,natural/ADJ,beaches/NOUN
dark/ADJ,red/ADJ,liquid/NOUN
first/ADJ,half-hour/NOUN,free/ADJ
slow/ADJ,scenic/ADJ,route/NOUN
north-south/ADJ,numbered/ADJ,street/NOUN
east-west/ADJ,numbered/ADJ,street/NOUN
alleged/ADJ,low/ADJ,rates/NOUN
major/ADJ,urban/ADJ,revival/NOUN
regular/ADJ,cultural/ADJ,festivals/NOUN
main/ADJ,north-south/ADJ,motorways/NOUN
main/ADJ,arterial/ADJ,roads/NOUN
perfect/ADJ,little/ADJ,world/NOUN
crucial/ADJ,first/ADJ,step/NOUN
Many/ADJ,arrogant/ADJ,people/NOUN
perfect/ADJ,little/ADJ,world/NOUN
plain/ADJ,black/ADJ,leotard/NOUN
tight/ADJ,fitting/ADJ,clothing/NOUN
enough/ADJ,open/ADJ,space/NOUN
knee-driven/ADJ,bipedal/ADJ,locomotion/NOUN
bipedal/ADJ,non-avian/ADJ,dinosaurs/NOUN
many/ADJ,different/ADJ,varieties/NOUN
pretty/ADJ,blue/ADJ,veins/NOUN
pretty/ADJ,little/ADJ,bushes/NOUN
first/ADJ,green/ADJ,tendrils/NOUN
extinct/ADJ,bipedal/ADJ,dinosaurs/NOUN
many/ADJ,scientific/ADJ,fields/NOUN
tiny/ADJ,little/ADJ,leaves/NOUN
simple/ADJ,morphological/ADJ,parameters/NOUN
mid-shaft/ADJ,cross-sectional/ADJ,properties/NOUN
cross-sectional/ADJ,femoral/ADJ,geometry/NOUN
simple/ADJ,morphological/ADJ,correlates/NOUN
great/ADJ,American/ADJ,novel/NOUN
music-related/ADJ,small/ADJ,talk/NOUN
different/ADJ,artificial/ADJ,tails/NOUN
most/ADJ,European/ADJ,languages/NOUN
many/ADJ,basic/ADJ,words/NOUN
regular/ADJ,English/ADJ,language/NOUN
single/ADJ,professional/ADJ,society/NOUN
other/ADJ,little/ADJ,things/NOUN
careful/ADJ,phenotypic/ADJ,manipulation/NOUN
average/ADJ,global/ADJ,viewership/NOUN
other/ADJ,fan-based/ADJ,creations/NOUN
single/ADJ,all-encompassing/ADJ,organization/NOUN
many/ADJ,disjoint/ADJ,lists/NOUN
contemporary/ADJ,postdigital/ADJ,society/NOUN
main/ADJ,wizarding/ADJ,sport/NOUN
many/ADJ,different/ADJ,ways/NOUN
last/ADJ,few/ADJ,years/NOUN
small/ADJ,yellow/ADJ,ball/NOUN
medium/ADJ,high/ADJ,heat/NOUN
many/ADJ,prominent/ADJ,mathematicians/NOUN
earliest/ADJ,mathematical/ADJ,work/NOUN
various/ADJ,mechanical/ADJ,questions/NOUN
noisy/ADJ,traditional/ADJ,wedding/NOUN
entire/ADJ,academic/ADJ,field/NOUN
smallest/ADJ,applicable/ADJ,unit/NOUN
many/ADJ,notable/ADJ,students/NOUN
many/ADJ,academic/ADJ,fields/NOUN
scant/ADJ,historical/ADJ,details/NOUN
conflicting/ADJ,information/NOUN,available/ADJ
British/ADJ,romantic/ADJ,comedy/NOUN
additional/ADJ,Christian/ADJ,name/NOUN
only/ADJ,Scottish/ADJ,soldier/NOUN
upper-class/ADJ,Iraqi/ADJ,family/NOUN
significant/ADJ,political/ADJ,organisation/NOUN
tiny/ADJ,little/ADJ,pieces/NOUN
first/ADJ,important/ADJ,writers/NOUN
classical/ADJ,literary/ADJ,training/NOUN
promising/ADJ,new/ADJ,author/NOUN
worthwhile/ADJ,literary/ADJ,subjects/NOUN
different/ADJ,stylistic/ADJ,effects/NOUN
medial/ADJ,collateral/ADJ,ligament/NOUN
specific/ADJ,syntactic/ADJ,units/NOUN
first/ADJ,walk-off/ADJ,hit/NOUN
Latin/ADJ,Catholic/ADJ,priest/NOUN
Christian/ADJ,moral/ADJ,life/NOUN
affluent/ADJ,senatorial/ADJ,families/NOUN
automatic/ADJ,metrical/ADJ,analyses/NOUN
many/ADJ,Christian/ADJ,friends/NOUN
chief/ADJ,executive/ADJ,officer/NOUN
other/ADJ,general/ADJ,topics/NOUN
early/ADJ,classical/ADJ,poetry/NOUN
Best/ADJ,Foreign/ADJ,Actress/NOUN
several/ADJ,successful/ADJ,films/NOUN
other/ADJ,notable/ADJ,directors/NOUN
first/ADJ,full-scale/ADJ,analysis/NOUN
only/ADJ,thorough/ADJ,introduction/NOUN
closest/ADJ,natural/ADJ,equivalent/NOUN
bright/ADJ,unearthly/ADJ,colors/NOUN
taciturn/ADJ,old/ADJ,man/NOUN
little/ADJ,white/ADJ,paper/NOUN
plump/ADJ,young/ADJ,woman/NOUN
Grand/ADJ,Central/ADJ,Station/NOUN
first/ADJ,intelligent/ADJ,person/NOUN
short/ADJ,strong/ADJ,beard/NOUN
Spanish/ADJ,Civil/ADJ,War/NOUN
Such/ADJ,intelligent/ADJ,discussion/NOUN
great/ADJ,Golden/ADJ,Gate/NOUN
Russian/ADJ,Orthodox/ADJ,church/NOUN
many/ADJ,external/ADJ,sources/NOUN
little/ADJ,cherub-like/ADJ,child/NOUN
certain/ADJ,Vautrin-admiring/ADJ,romanticism/NOUN
starched/ADJ,white/ADJ,affair/NOUN
same/ADJ,quick/ADJ,glance/NOUN
unconcerned/ADJ,old/ADJ,eyes/NOUN
unshaven/ADJ,little/ADJ,man/NOUN
last/ADJ,decent/ADJ,cup/NOUN
long/ADJ,quiet/ADJ,chat/NOUN
high/ADJ,starched/ADJ,collar/NOUN
big/ADJ,white/ADJ,hand/NOUN
probable/ADJ,future/ADJ,trend/NOUN
European/ADJ,agricultural/ADJ,exports/NOUN
Joint/ADJ,Parliamentary/ADJ,Committee/NOUN
Union-wide/ADJ,harmonising/ADJ,directive/NOUN
whole/ADJ,political/ADJ,class/NOUN
new/ADJ,High/ADJ,Representative/NOUN
own/ADJ,speaking/ADJ,time/NOUN
stale/ADJ,cool/ADJ,air/NOUN
little/ADJ,crusty/ADJ,tunnels/NOUN
old/ADJ,black/ADJ,Labrador/NOUN
new/ADJ,young/ADJ,men/NOUN
piddling/ADJ,little/ADJ,job/NOUN
similar/ADJ,good/ADJ,reasons/NOUN
sorrowful/ADJ,black/ADJ,eyes/NOUN
flamboyant/ADJ,national/ADJ,dress/NOUN
local/ADJ,African/ADJ,women/NOUN
Oriental-looking/ADJ,little/ADJ,girl/NOUN
new/ADJ,national/ADJ,anthem/NOUN
bright/ADJ,slanting/ADJ,sun/NOUN
same/ADJ,unanswerable/ADJ,questions/NOUN
wavy/ADJ,blond/ADJ,hair/NOUN
bright/ADJ,blue/ADJ,eyes/NOUN
big/ADJ,green/ADJ,pond/NOUN
horny/ADJ,little/ADJ,feet/NOUN
long/ADJ,green/ADJ,robes/NOUN
bright/ADJ,brown/ADJ,eyes/NOUN
bright/ADJ,orange/ADJ,robes/NOUN
fat/ADJ,grey/ADJ,rat/NOUN
local/ADJ,Catholic/ADJ,school/NOUN
fateful/ADJ,decisive/ADJ,thing/NOUN
wild/ADJ,strong/ADJ,son/NOUN
interior/ADJ,vertical/ADJ,line/NOUN
nearest/ADJ,parallel/ADJ,line/NOUN
nearest/ADJ,parallel/ADJ,line/NOUN
particular/ADJ,red/ADJ,notebook/NOUN
deft/ADJ,little/ADJ,twist/NOUN
proper/ADJ,literary/ADJ,form/NOUN
great/ADJ,Armenian/ADJ,musician/NOUN
good/ADJ,long/ADJ,time/NOUN
Russian/ADJ,dental/ADJ,art/NOUN
finest/ADJ,Israeli/ADJ,writers/NOUN
dear/ADJ,enthusiastic/ADJ,soul/NOUN
immense/ADJ,double/ADJ,doors/NOUN
large/ADJ,shining/ADJ,map/NOUN
white-haired/ADJ,secretarial/ADJ,head/NOUN
calculated/ADJ,total/ADJ,control/NOUN
several/ADJ,abandoned/ADJ,villages/NOUN
another/ADJ,brief/ADJ,comment/NOUN
harmful/ADJ,psychological/ADJ,effects/NOUN
certain/ADJ,European/ADJ,kind/NOUN
young/ADJ,black/ADJ,man/NOUN
own/ADJ,established/ADJ,residence/NOUN
youthful/ADJ,black/ADJ,official/NOUN
huge/ADJ,Roman/ADJ,emperor/NOUN
little/ADJ,tiny/ADJ,thing/NOUN
jutting/ADJ,glassy/ADJ,sections/NOUN
single/ADJ,stray/ADJ,strand/NOUN
pink/ADJ,inner/ADJ,lip/NOUN
gallant/ADJ,good/ADJ,humour/NOUN
nice/ADJ,young/ADJ,man/NOUN
many/ADJ,decent/ADJ,wizards/NOUN
only/ADJ,remaining/ADJ,chair/NOUN
single/ADJ,stuttered/ADJ,words/NOUN
black/ADJ,warm/ADJ,coat/NOUN
little/ADJ,black/ADJ,suit/NOUN
first/ADJ,serious/ADJ,emotion/NOUN
partisan/ADJ,paramilitary/ADJ,arm/NOUN
fewest/ADJ,possible/ADJ,number/NOUN
same/ADJ,romantic/ADJ,conviction/NOUN
prime/ADJ,revolutionary/ADJ,country/NOUN
illusionless/ADJ,tough/ADJ,guy/NOUN
nation-making/ADJ,American/ADJ,plenipotentiary/NOUN
American/ADJ,political/ADJ,science/NOUN
small/ADJ,Italian/ADJ,girl/NOUN
reactionary/ADJ,small/ADJ,country/NOUN
Israeli/ADJ,financial/ADJ,swindles/NOUN
terrible/ADJ,old/ADJ,guy/NOUN
interesting/ADJ,brief/ADJ,book/NOUN
new/ADJ,huge/ADJ,tankers/NOUN
American/ADJ,Sixth/ADJ,Fleet/NOUN
clean/ADJ,young/ADJ,soul/NOUN
only/ADJ,ancient/ADJ,city/NOUN
many/ADJ,other/ADJ,families/NOUN
decent/ADJ,young/ADJ,citizen/NOUN
small/ADJ,green/ADJ,flames/NOUN
many/ADJ,blank/ADJ,spaces/NOUN
mighty/ADJ,big/ADJ,river/NOUN
immense/ADJ,snake/NOUN,uncoiled/ADJ
silly/ADJ,little/ADJ,bird/NOUN
long/ADJ,eight-inch/ADJ,guns/NOUN
little/ADJ,white/ADJ,smoke/NOUN
little/ADJ,sea-going/ADJ,steamer/NOUN
miserable/ADJ,little/ADJ,wharf/NOUN
wooden/ADJ,barrack-like/ADJ,structures/NOUN
vast/ADJ,artificial/ADJ,hole/NOUN
various/ADJ,tropical/ADJ,diseases/NOUN
overfed/ADJ,young/ADJ,negro/NOUN
absurd/ADJ,long/ADJ,staves/NOUN
forked/ADJ,little/ADJ,beard/NOUN
only/ADJ,real/ADJ,feeling/NOUN
European/ADJ,Single/ADJ,Market/NOUN
actual/ADJ,driving/ADJ,force/NOUN
many/ADJ,other/ADJ,speakers/NOUN
existing/ADJ,positive/ADJ,actions/NOUN
approved/ADJ,testing/ADJ,centre/NOUN
proper/ADJ,balanced/ADJ,way/NOUN
common/ADJ,agricultural/ADJ,policy/NOUN
private/ADJ,digital/ADJ,copies/NOUN
common/ADJ,agricultural/ADJ,policy/NOUN
common/ADJ,agricultural/ADJ,policy/NOUN
competitive/ADJ,revenue-raising/ADJ,services/NOUN
further/ADJ,necessary/ADJ,steps/NOUN
slow/ADJ,shy/ADJ,smile/NOUN
quick/ADJ,black/ADJ,man/NOUN
tall/ADJ,rank/ADJ,weed/NOUN
white/ADJ,wooden/ADJ,chairs/NOUN
funny/ADJ,stuffed/ADJ,toys/NOUN
comfortable/ADJ,private/ADJ,income/NOUN
filthy/ADJ,cleaning/ADJ,rag/NOUN
crinkly/ADJ,grey/ADJ,hair/NOUN
dazzling/ADJ,white/ADJ,ruins/NOUN
brilliant/ADJ,blue/ADJ,sea/NOUN
bare/ADJ,black/ADJ,feet/NOUN
tired/ADJ,vacant/ADJ,stare/NOUN
cool/ADJ,metallic/ADJ,taste/NOUN
fine/ADJ,Nordic/ADJ,cheekbones/NOUN
long/ADJ,coarse/ADJ,strands/NOUN
baldish/ADJ,fair/ADJ,man/NOUN
another/ADJ,large/ADJ,meal/NOUN
round/ADJ,flat/ADJ,bottle/NOUN
democratic/ADJ,social/ADJ,system/NOUN
whole/ADJ,Lambala-speaking/ADJ,crowd/NOUN
contented/ADJ,little/ADJ,minds/NOUN
furry/ADJ,black/ADJ,band/NOUN
international/ADJ,cigarette-making/ADJ,firm/NOUN
elderly/ADJ,English/ADJ,princess/NOUN
other/ADJ,official/ADJ,occasions/NOUN
few/ADJ,African/ADJ,doctors/NOUN
new/ADJ,international/ADJ,character/NOUN
Many/ADJ,other/ADJ,people/NOUN
narrow/ADJ,black/ADJ,hand/NOUN
fair/ADJ,stocky/ADJ,man/NOUN
own/ADJ,free/ADJ,will/NOUN
sulky/ADJ,outraged/ADJ,attention/NOUN
short/ADJ,high/ADJ,nose/NOUN
handsome/ADJ,dark/ADJ,blonde/NOUN
long/ADJ,curly/ADJ,hair/NOUN
clean/ADJ,white/ADJ,shirt/NOUN
interior/ADJ,horizontal/ADJ,line/NOUN
enormous/ADJ,black/ADJ,moustache/NOUN
brilliant/ADJ,green/ADJ,eyes/NOUN
greatest/ADJ,dark/ADJ,sorcerer/NOUN
enormous/ADJ,green/ADJ,eyes/NOUN
interior/ADJ,vertical/ADJ,line/NOUN
bulging/ADJ,green/ADJ,eyes/NOUN
long/ADJ,thin/ADJ,nose/NOUN
interior/ADJ,horizontal/ADJ,line/NOUN
sudden/ADJ,loud/ADJ,screech/NOUN
faint/ADJ,pinkish/ADJ,glow/NOUN
brilliant/ADJ,red/ADJ,sun/NOUN
nasty/ADJ,greenish/ADJ,colour/NOUN
scrubbed/ADJ,wooden/ADJ,table/NOUN
large/ADJ,black/ADJ,cabinet/NOUN
gigantic/ADJ,black/ADJ,spiders/NOUN
whole/ADJ,human/ADJ,fingernails/NOUN
bushy/ADJ,brown/ADJ,hair/NOUN
glistening/ADJ,bald/ADJ,patch/NOUN
large/ADJ,black/ADJ,camera/NOUN
Another/ADJ,dizzy/ADJ,round/NOUN
cold/ADJ,red/ADJ,mouth/NOUN
several/ADJ,different/ADJ,boxes/NOUN
wild/ADJ,dark/ADJ,men/NOUN
own/ADJ,free/ADJ,will/NOUN
frightened/ADJ,small/ADJ,boy/NOUN
huge/ADJ,full-length/ADJ,apron/NOUN
own/ADJ,dead/ADJ,son/NOUN
small/ADJ,balding/ADJ,man/NOUN
long/ADJ,brown/ADJ,overcoat/NOUN
sundry/ADJ,other/ADJ,clumps/NOUN
several/ADJ,different/ADJ,methods/NOUN
certain/ADJ,extreme/ADJ,measures/NOUN
first/ADJ,few/ADJ,blocks/NOUN
old/ADJ,shuffling/ADJ,pace/NOUN
tall/ADJ,dark/ADJ,fellow/NOUN
several/ADJ,long/ADJ,corridors/NOUN
frayed/ADJ,upholstered/ADJ,chair/NOUN
certain/ADJ,ironic/ADJ,pleaure/NOUN
same/ADJ,ironic/ADJ,smile/NOUN
another/ADJ,busy/ADJ,signal/NOUN
good-hearted/ADJ,young/ADJ,man/NOUN
big/ADJ,British/ADJ,eyes/NOUN
new/ADJ,reserved/ADJ,words/NOUN
new/ADJ,international/ADJ,order/NOUN
massive/ADJ,white/ADJ,clouds/NOUN
ancient/ADJ,tombed/ADJ,caverns/NOUN
Arabic/ADJ,Political/ADJ,Memoirs/NOUN
other/ADJ,American/ADJ,ambassadors/NOUN
new/ADJ,political/ADJ,realm/NOUN
fresh/ADJ,financial/ADJ,burdens/NOUN
new/ADJ,soft/ADJ,target/NOUN
bigger/ADJ,economical/ADJ,development/NOUN
coastal/ADJ,Greek/ADJ,cities/NOUN
multi-ethnic/ADJ,Achaemenid/ADJ,army/NOUN
limited/ADJ,French/ADJ,protection/NOUN
African/ADJ,Traditional/ADJ,Religion/NOUN
Several/ADJ,ancient/ADJ,civilisations/NOUN
Danish/ADJ,public/ADJ,opinion/NOUN
prominent/ADJ,topographic/ADJ,features/NOUN
other/ADJ,military/ADJ,hardware/NOUN
Major/ADJ,European/ADJ,rivers/NOUN
Various/ADJ,private/ADJ,interests/NOUN
Numerous/ADJ,indigenous/ADJ,peoples/NOUN
late/ADJ,15th/ADJ,century/NOUN
common/ADJ,alternative/ADJ,name/NOUN
various/ADJ,European/ADJ,languages/NOUN
major/ADJ,tactical/ADJ,error/NOUN
first/ADJ,scholarly/ADJ,report/NOUN
several/ADJ,aggressive/ADJ,negotiations/NOUN
large/ADJ,standing/ADJ,stones/NOUN
Thai/ADJ,auspicious/ADJ,colours/NOUN
Holy/ADJ,Roman/ADJ,Emperor/NOUN
Macedonian/ADJ,eastern/ADJ,border/NOUN
large/ADJ,Macedonian/ADJ,army/NOUN
profound/ADJ,economic/ADJ,growth/NOUN
extensive/ADJ,statistical/ADJ,analysis/NOUN
British/ADJ,heavy/ADJ,cavalry/NOUN
new/ADJ,indigenous/ADJ,quarters/NOUN
white/ADJ,male/ADJ,identity/NOUN
first/ADJ,non-white/ADJ,princess/NOUN
further/ADJ,public/ADJ,recognition/NOUN
prehistoric/ADJ,Mesoamerican/ADJ,iconography/NOUN
other/ADJ,German/ADJ,officials/NOUN
Sudeten/ADJ,German/ADJ,farmers/NOUN
such/ADJ,bad/ADJ,shape/NOUN
male/ADJ,hormonal/ADJ,contraceptives/NOUN
male/ADJ,hormonal/ADJ,contraception/NOUN
National/ADJ,Natural/ADJ,Heritage/NOUN
first/ADJ,female/ADJ,president/NOUN
anti-fascist/ADJ,Catholic/ADJ,family/NOUN
militant/ADJ,socialist/ADJ,father/NOUN
fourth/ADJ,American/ADJ,company/NOUN
many/ADJ,other/ADJ,socialists/NOUN
early/ADJ,5th/ADJ,century/NOUN
old/ADJ,colonial/ADJ,powers/NOUN
first/ADJ,Greek/ADJ,texts/NOUN
own/ADJ,political/ADJ,systems/NOUN
large/ADJ,new/ADJ,emitters/NOUN
intense/ADJ,royal/ADJ,livestock/NOUN
several/ADJ,different/ADJ,menhirs/NOUN
many/ADJ,prehistoric/ADJ,artifacts/NOUN
various/ADJ,cinematic/ADJ,scores/NOUN
many/ADJ,lateral/ADJ,chapels/NOUN
private/ADJ,Metropolitan/ADJ,Club/NOUN
major/ADJ,financial/ADJ,centers/NOUN
little/ADJ,British/ADJ,manufacturing/NOUN
democratic/ADJ,literary/ADJ,form/NOUN
many/ADJ,fine/ADJ,houses/NOUN
many/ADJ,extraordinary/ADJ,circumstances/NOUN
new/ADJ,critical/ADJ,approaches/NOUN
subsidiary/ADJ,national/ADJ,policies/NOUN
sixth/ADJ,major/ADJ,extinction/NOUN
next/ADJ,few/ADJ,days/NOUN
strong/ADJ,political/ADJ,commitment/NOUN
genuine/ADJ,fiscal/ADJ,union/NOUN
respective/ADJ,constitutional/ADJ,requirements/NOUN
several/ADJ,possible/ADJ,explanations/NOUN
increased/ADJ,fiscal/ADJ,cost/NOUN
recent/ADJ,technological/ADJ,innovations/NOUN
recent/ADJ,technological/ADJ,innovations/NOUN
adequate/ADJ,maternal/ADJ,nutrition/NOUN
specific/ADJ,nutritional/ADJ,deficiencies/NOUN
strong/ADJ,domestic/ADJ,support/NOUN
considerable/ADJ,economic/ADJ,progress/NOUN
first/ADJ,female/ADJ,President/NOUN
multiple/ADJ,part-time/ADJ,positions/NOUN
increasing/ADJ,temporary/ADJ,employment/NOUN
talented/ADJ,young/ADJ,women/NOUN
increased/ADJ,female/ADJ,labor/NOUN
entrenched/ADJ,cultural/ADJ,norms/NOUN
essential/ADJ,economic/ADJ,partners/NOUN
International/ADJ,Monetary/ADJ,Fund/NOUN
international/ADJ,economic/ADJ,cooperation/NOUN
other/ADJ,big/ADJ,countries/NOUN
racy/ADJ,personal/ADJ,dimension/NOUN
last/ADJ,few/ADJ,years/NOUN
sensible/ADJ,legislative/ADJ,tactics/NOUN
huge/ADJ,analytical/ADJ,mistakes/NOUN
International/ADJ,Monetary/ADJ,Fund/NOUN
real/ADJ,economic/ADJ,pain/NOUN
sovereign/ADJ,Ukrainian/ADJ,territory/NOUN
Russian/ADJ,white/ADJ,paper/NOUN
new/ADJ,federal/ADJ,units/NOUN
current/ADJ,interim/ADJ,government/NOUN
new/ADJ,constitutional/ADJ,order/NOUN
promising/ADJ,new/ADJ,technology/NOUN
molecular/ADJ,genetic/ADJ,engineering/NOUN
greater/ADJ,European/ADJ,solidarity/NOUN
inspiring/ADJ,political/ADJ,structure/NOUN
dubious/ADJ,economic/ADJ,value/NOUN
many/ADJ,subsequent/ADJ,novelists/NOUN
ancient/ADJ,noble/ADJ,family/NOUN
widespread/ADJ,popular/ADJ,support/NOUN
despondent/ADJ,young/ADJ,man/NOUN
first/ADJ,best-selling/ADJ,novel/NOUN
troubled/ADJ,young/ADJ,secretary/NOUN
massive/ADJ,temporal/ADJ,rift/NOUN
deep/ADJ,personal/ADJ,reflections/NOUN
American/ADJ,expatriate/ADJ,novelist/NOUN
few/ADJ,other/ADJ,verses/NOUN
affluent/ADJ,landowning/ADJ,farmer/NOUN
Latin/ADJ,classical/ADJ,authors/NOUN
few/ADJ,historical/ADJ,traces/NOUN
many/ADJ,apocryphal/ADJ,stories/NOUN
second/ADJ,best/ADJ,bed/NOUN
first/ADJ,recorded/ADJ,works/NOUN
other/ADJ,Elizabethan/ADJ,dramatists/NOUN
precise/ADJ,comic/ADJ,sequences/NOUN
vengeful/ADJ,Jewish/ADJ,moneylender/NOUN
charming/ADJ,rural/ADJ,setting/NOUN
famous/ADJ,romantic/ADJ,tragedy/NOUN
best/ADJ,known/ADJ,tragedies/NOUN
other/ADJ,Shakespearean/ADJ,character/NOUN
last/ADJ,major/ADJ,tragedies/NOUN
popular/ADJ,comic/ADJ,actor/NOUN
most/ADJ,modern/ADJ,editions/NOUN
third/ADJ,narrative/ADJ,poem/NOUN
fair/ADJ,young/ADJ,man/NOUN
standard/ADJ,poetic/ADJ,form/NOUN
traditional/ADJ,blank/ADJ,verse/NOUN
last/ADJ,poetic/ADJ,style/NOUN
classic/ADJ,tragic/ADJ,hero/NOUN
first/ADJ,serious/ADJ,work/NOUN
everyday/ADJ,English/ADJ,speech/NOUN
pious/ADJ,Catholic/ADJ,family/NOUN
several/ADJ,fake/ADJ,portraits/NOUN
Eastern/ADJ,European/ADJ,countries/NOUN
happy/ADJ,new/ADJ,year/NOUN
European/ADJ,Structural/ADJ,Funds/NOUN
important/ADJ,potential/ADJ,provider/NOUN
European/ADJ,Social/ADJ,Fund/NOUN
European/ADJ,Social/ADJ,Fund/NOUN
annual/ADJ,national/ADJ,plans/NOUN
other/ADJ,political/ADJ,groups/NOUN
complicated/ADJ,administrative/ADJ,processes/NOUN
gross/ADJ,domestic/ADJ,product/NOUN
European/ADJ,Regional/ADJ,Development/NOUN
European/ADJ,Social/ADJ,Fund/NOUN
other/ADJ,comparable/ADJ,authorship/NOUN
highest/ADJ,common/ADJ,denominator/NOUN
unified/ADJ,capital/ADJ,tax/NOUN
appropriate/ADJ,detailed/ADJ,guidance/NOUN
