детском/ADJ,фантастическом/ADJ,фильме/NOUN
пятиярусный/ADJ,зрительный/ADJ,зал/NOUN
ведущие/ADJ,российские/ADJ,вузы/NOUN
ценными/ADJ,практическими/ADJ,навыками/NOUN
остальных/ADJ,коммерческих/ADJ,банков/NOUN
международного/ADJ,финансового/ADJ,кризиса/NOUN
обычного/ADJ,потребительского/ADJ,кредита/NOUN
системные/ADJ,научные/ADJ,исследования/NOUN
подобных/ADJ,кредитных/ADJ,программ/NOUN
традиционными/ADJ,кредитными/ADJ,продуктами/NOUN
крохотный/ADJ,душный/ADJ,туалет/NOUN
естественной/ADJ,природной/ADJ,среды/NOUN
автономным/ADJ,инженерным/ADJ,оборудованием/NOUN
целый/ADJ,экологический/ADJ,поселок/NOUN
мощной/ADJ,вентиляционной/ADJ,системы/NOUN
другим/ADJ,прозрачным/ADJ,материалом/NOUN
воздушного/ADJ,солнечного/ADJ,коллектора/NOUN
Федеральную/ADJ,целевую/ADJ,программу/NOUN
энергоэффективного/ADJ,экологического/ADJ,домостроения/NOUN
новые/ADJ,жилые/ADJ,комплексы/NOUN
современное/ADJ,дорогое/ADJ,остекление/NOUN
новейшим/ADJ,инженерным/ADJ,оборудованием/NOUN
больших/ADJ,жилых/ADJ,комплексах/NOUN
дорогими/ADJ,отделочными/ADJ,материалами/NOUN
специальные/ADJ,вытяжные/ADJ,системы/NOUN
полный/ADJ,коммуникационный/ADJ,пакет/NOUN
Средний/ADJ,коммунальный/ADJ,платеж/NOUN
собственные/ADJ,тепловые/ADJ,подстанции/NOUN
первые/ADJ,жилые/ADJ,комплексы/NOUN
жилых/ADJ,многоквартирных/ADJ,домов/NOUN
общей/ADJ,долевой/ADJ,собственности/NOUN
определенный/ADJ,эмоциональный/ADJ,настрой/NOUN
данном/ADJ,историческом/ADJ,отрезке/NOUN
речевого/ADJ,политического/ADJ,этикета/NOUN
двуполого/ADJ,вокального/ADJ,дуэта/NOUN
самопроизвольное/ADJ,обильное/ADJ,варьирование/NOUN
Европейский/ADJ,центральный/ADJ,банк/NOUN
единой/ADJ,европейской/ADJ,валюте/NOUN
крупнейшие/ADJ,кредитные/ADJ,учреждения/NOUN
европейского/ADJ,финансового/ADJ,надзора/NOUN
формальную/ADJ,юридическую/ADJ,процедуру/NOUN
низкую/ADJ,околоземную/ADJ,орбиту/NOUN
маршевой/ADJ,двигательной/ADJ,установки/NOUN
промежуточную/ADJ,эллиптическую/ADJ,орбиту/NOUN
основной/ADJ,бортовой/ADJ,радиокомплекс/NOUN
низкой/ADJ,околоземной/ADJ,орбите/NOUN
дальней/ADJ,космической/ADJ,связи/NOUN
новой/ADJ,существенной/ADJ,информации/NOUN
маршевой/ADJ,двигательной/ADJ,установке/NOUN
маршевой/ADJ,двигательной/ADJ,установки/NOUN
тяжелая/ADJ,программная/ADJ,ошибка/NOUN
Федеральным/ADJ,космическим/ADJ,агентством/NOUN
советской/ADJ,марсианской/ADJ,программе/NOUN
тяжелой/ADJ,межпланетной/ADJ,станции/NOUN
тяжелой/ADJ,экономической/ADJ,ситуации/NOUN
Федеральной/ADJ,космической/ADJ,программы/NOUN
Российского/ADJ,космического/ADJ,агентства/NOUN
жидкостный/ADJ,реактивный/ADJ,двигатель/NOUN
начальную/ADJ,гелиоцентрическую/ADJ,орбиту/NOUN
автоматическая/ADJ,межпланетная/ADJ,станция/NOUN
маршевую/ADJ,двигательную/ADJ,установку/NOUN
собственная/ADJ,двигательная/ADJ,установка/NOUN
дополнительную/ADJ,полезную/ADJ,нагрузку/NOUN
малые/ADJ,марсианские/ADJ,метеостанции/NOUN
первые/ADJ,вибрационные/ADJ,испытания/NOUN
попутного/ADJ,китайского/ADJ,зонда/NOUN
малой/ADJ,метеорологической/ADJ,станции/NOUN
Последнее/ADJ,принципиальное/ADJ,изменение/NOUN
Федеральное/ADJ,космическое/ADJ,агентство/NOUN
маршевая/ADJ,двигательная/ADJ,установка/NOUN
сложной/ADJ,многоступенчатой/ADJ,схеме/NOUN
Маршевая/ADJ,двигательная/ADJ,установка/NOUN
отечественных/ADJ,межпланетных/ADJ,исследованиях/NOUN
американских/ADJ,научных/ADJ,разработок/NOUN
тщательная/ADJ,многократная/ADJ,отработка/NOUN
сложнейшую/ADJ,межпланетную/ADJ,станцию/NOUN
следующее/ADJ,астрономическое/ADJ,окно/NOUN
ведущей/ADJ,космической/ADJ,державы/NOUN
оригинальные/ADJ,технические/ADJ,решения/NOUN
немногие/ADJ,технические/ADJ,решения/NOUN
иных/ADJ,уважительных/ADJ,причин/NOUN
другие/ADJ,необходимые/ADJ,модификации/NOUN
Спортивная/ADJ,рабочая/ADJ,группа/NOUN
черный/ADJ,музыкантский/ADJ,костюм/NOUN
лучшую/ADJ,финишную/ADJ,позицию/NOUN
антиблокировочная/ADJ,тормозная/ADJ,система/NOUN
четырехтактные/ADJ,восьмицилиндровые/ADJ,двигатели/NOUN
первые/ADJ,печатные/ADJ,книги/NOUN
специальные/ADJ,промежуточные/ADJ,шины/NOUN
Второй/ADJ,мировой/ADJ,войной/NOUN
наивысшем/ADJ,гоночном/ADJ,классе/NOUN
Первым/ADJ,технологическим/ADJ,новшеством/NOUN
других/ADJ,аэродинамических/ADJ,элементов/NOUN
Первая/ADJ,армянская/ADJ,типография/NOUN
известный/ADJ,автоспортивный/ADJ,деятель/NOUN
Международная/ADJ,автомобильная/ADJ,федерация/NOUN
высочайшими/ADJ,техническими/ADJ,достижениями/NOUN
максимальная/ADJ,моментальная/ADJ,скорость/NOUN
ведущих/ADJ,технических/ADJ,специалистов/NOUN
американских/ADJ,гоночных/ADJ,сериях/NOUN
других/ADJ,гоночных/ADJ,сериях/NOUN
целое/ADJ,небольшое/ADJ,царство/NOUN
сложные/ADJ,погодные/ADJ,условия/NOUN
бывший/ADJ,Тушинский/ADJ,аэродром/NOUN
различных/ADJ,математических/ADJ,систем/NOUN
точной/ADJ,математической/ADJ,перспективе/NOUN
известного/ADJ,французского/ADJ,портретиста/NOUN
закулисный/ADJ,технический/ADJ,персонал/NOUN
многочисленные/ADJ,позитивные/ADJ,отпечатки/NOUN
монокулярных/ADJ,оптических/ADJ,технологий/NOUN
различных/ADJ,оптических/ADJ,устройствах/NOUN
Первая/ADJ,армянская/ADJ,газета/NOUN
Гематологического/ADJ,научного/ADJ,центра/NOUN
острая/ADJ,массивная/ADJ,кровопотеря/NOUN
острой/ADJ,массивной/ADJ,кровопотерей/NOUN
острая/ADJ,массивная/ADJ,кровопотеря/NOUN
последующим/ADJ,обильным/ADJ,кровотечением/NOUN
несовместимой/ADJ,донорской/ADJ,крови/NOUN
острой/ADJ,массивной/ADJ,кровопотере/NOUN
порочный/ADJ,смертельный/ADJ,круг/NOUN
большой/ADJ,физической/ADJ,нагрузке/NOUN
огульную/ADJ,бескровную/ADJ,тактику/NOUN
уникальных/ADJ,американских/ADJ,протезах/NOUN
повседневной/ADJ,акушерской/ADJ,практике/NOUN
неотложной/ADJ,гематологической/ADJ,помощи/NOUN
интенсивные/ADJ,реанимационные/ADJ,меры/NOUN
Гематологическом/ADJ,научном/ADJ,центре/NOUN
серьезная/ADJ,организационная/ADJ,работа/NOUN
обязательного/ADJ,гемостазиологического/ADJ,контроля/NOUN
тяжелое/ADJ,инфекционное/ADJ,заболевание/NOUN
тяжкий/ADJ,банный/ADJ,дух/NOUN
интенсивной/ADJ,лекарственной/ADJ,терапии/NOUN
высоких/ADJ,медицинских/ADJ,технологий/NOUN
групповых/ADJ,новозаветных/ADJ,изображениях/NOUN
печальными/ADJ,зимними/ADJ,рассветами/NOUN
медленной/ADJ,мучительной/ADJ,смерти/NOUN
последних/ADJ,ночных/ADJ,трамваев/NOUN
тихой/ADJ,утренней/ADJ,порой/NOUN
прочих/ADJ,семейных/ADJ,торжествах/NOUN
обязательным/ADJ,справедливым/ADJ,судом/NOUN
раннем/ADJ,июльском/ADJ,сиянии/NOUN
безлюдными/ADJ,утренними/ADJ,проспектами/NOUN
Короткие/ADJ,летние/ADJ,ночи/NOUN
горячее/ADJ,напряженное/ADJ,дыхание/NOUN
следующей/ADJ,производственной/ADJ,смены/NOUN
темных/ADJ,душных/ADJ,парадных/NOUN
короткие/ADJ,нехитрые/ADJ,истории/NOUN
бесконечную/ADJ,сумбурную/ADJ,переписку/NOUN
московские/ADJ,городские/ADJ,слоны/NOUN
двухуровневой/ADJ,смотровой/ADJ,площадкой/NOUN
московского/ADJ,слоновьего/ADJ,дела/NOUN
поздней/ADJ,плейстоценовой/ADJ,эпохи/NOUN
ценное/ADJ,дареное/ADJ,имущество/NOUN
царских/ADJ,зоологических/ADJ,заведений/NOUN
нынешней/ADJ,Красной/ADJ,площади/NOUN
Великом/ADJ,княжестве/NOUN,Московском/ADJ
знаменитый/ADJ,итальянский/ADJ,архитектор/NOUN
первого/ADJ,московского/ADJ,слона/NOUN
холодную/ADJ,гранитную/ADJ,брусчатку/NOUN
белоснежных/ADJ,кафельных/ADJ,стен/NOUN
первого/ADJ,московского/ADJ,слона/NOUN
Простое/ADJ,арифметическое/ADJ,действие/NOUN
густого/ADJ,красного/ADJ,вина/NOUN
сушеное/ADJ,слоновье/ADJ,сердце/NOUN
нынешнего/ADJ,Политехнического/ADJ,музея/NOUN
четвероногих/ADJ,уличных/ADJ,артистов/NOUN
Старый/ADJ,Московский/ADJ,цирк/NOUN
новый/ADJ,просторный/ADJ,вольер/NOUN
крупных/ADJ,американских/ADJ,физиков/NOUN
уникальным/ADJ,физическим/ADJ,инструментом/NOUN
белый/ADJ,металлический/ADJ,стул/NOUN
уникальная/ADJ,физическая/ADJ,установка/NOUN
сложный/ADJ,научный/ADJ,прибор/NOUN
тончайшие/ADJ,биологические/ADJ,процессы/NOUN
универсальный/ADJ,физический/ADJ,прибор/NOUN
прикладные/ADJ,экологические/ADJ,эксперименты/NOUN
уникальные/ADJ,физические/ADJ,установки/NOUN
разных/ADJ,национальных/ADJ,лабораторий/NOUN
крупным/ADJ,международным/ADJ,центром/NOUN
ядерном/ADJ,магнитном/ADJ,резонансе/NOUN
независимую/ADJ,международную/ADJ,экспертизу/NOUN
восточноуральского/ADJ,радиоактивного/ADJ,следа/NOUN
стандартный/ADJ,нейтронный/ADJ,анализ/NOUN
основную/ADJ,финансовую/ADJ,нагрузку/NOUN
большой/ADJ,физический/ADJ,комплекс/NOUN
новым/ADJ,энергосберегающим/ADJ,продуктом/NOUN
международных/ADJ,патентных/ADJ,заявок/NOUN
сильная/ADJ,высшая/ADJ,школа/NOUN
научных/ADJ,занимательных/ADJ,моделей/NOUN
Бостонского/ADJ,детского/ADJ,музея/NOUN
Обычные/ADJ,бытовые/ADJ,приборы/NOUN
Лос-Анджелесского/ADJ,детского/ADJ,музея/NOUN
детский/ADJ,интерактивный/ADJ,музей/NOUN
научных/ADJ,занимательных/ADJ,моделей/NOUN
различными/ADJ,научными/ADJ,явлениями/NOUN
лучшие/ADJ,российские/ADJ,экспонаты/NOUN
научных/ADJ,занимательных/ADJ,моделей/NOUN
серьезные/ADJ,научные/ADJ,законы/NOUN
Национальной/ADJ,баскетбольной/ADJ,лиги/NOUN
срочных/ADJ,трудовых/ADJ,договоров/NOUN
Единая/ADJ,европейская/ADJ,валюта/NOUN
прочих/ADJ,мировых/ADJ,валют/NOUN
единая/ADJ,денежная/ADJ,единица/NOUN
незавидное/ADJ,финансовое/ADJ,положение/NOUN
потенциальный/ADJ,валютный/ADJ,союз/NOUN
единой/ADJ,мировой/ADJ,валютой/NOUN
вчерашнее/ADJ,халатное/ADJ,отношение/NOUN
инвестиционного/ADJ,валютного/ADJ,портфеля/NOUN
российский/ADJ,фондовый/ADJ,рынок/NOUN
Российской/ADJ,торговой/ADJ,системы/NOUN
курсовой/ADJ,двадцатипроцентной/ADJ,динамики/NOUN
Германский/ADJ,автомобильный/ADJ,концерн/NOUN
другая/ADJ,германская/ADJ,компания/NOUN
германской/ADJ,национальной/ADJ,валюты/NOUN
новых/ADJ,валютных/ADJ,реалиях/NOUN
прочими/ADJ,денежными/ADJ,единицами/NOUN
новая/ADJ,политическая/ADJ,традиция/NOUN
Московской/ADJ,городской/ADJ,комиссией/NOUN
прагматичный/ADJ,московский/ADJ,мэр/NOUN
новой/ADJ,лубянской/ADJ,волны/NOUN
последних/ADJ,генеральных/ADJ,секретарей/NOUN
важные/ADJ,политические/ADJ,цели/NOUN
крупный/ADJ,политический/ADJ,деятель/NOUN
южнокорейского/ADJ,пассажирского/ADJ,авиалайнера/NOUN
знаменитые/ADJ,ежовые/ADJ,рукавицы/NOUN
единственным/ADJ,сталинским/ADJ,наркомом/NOUN
святой/ADJ,мужской/ADJ,дружбы/NOUN
российская/ADJ,информационная/ADJ,политика/NOUN
тухлое/ADJ,скучное/ADJ,болото/NOUN
самодельное/ADJ,взрывное/ADJ,устройство/NOUN
сложной/ADJ,оперативной/ADJ,обстановкой/NOUN
большая/ADJ,гуманитарная/ADJ,организация/NOUN
чеченских/ADJ,неправительственных/ADJ,организаций/NOUN
благостную/ADJ,святочную/ADJ,картину/NOUN
немецкоязычные/ADJ,съемочные/ADJ,группы/NOUN
закадровый/ADJ,дикторский/ADJ,текст/NOUN
повторных/ADJ,устных/ADJ,экзаменах/NOUN
Морской/ADJ,кадетский/ADJ,корпус/NOUN
Кронштадтскую/ADJ,морскую/ADJ,обсерваторию/NOUN
активную/ADJ,научную/ADJ,работу/NOUN
важный/ADJ,географический/ADJ,подвиг/NOUN
береговой/ADJ,артиллерийской/ADJ,батареей/NOUN
российского/ADJ,военно-морского/ADJ,флота/NOUN
Морской/ADJ,Генеральный/ADJ,штаб/NOUN
непосредственную/ADJ,боевую/ADJ,подготовку/NOUN
Первой/ADJ,мировой/ADJ,войны/NOUN
значительный/ADJ,численный/ADJ,перевес/NOUN
специальных/ADJ,ледокольных/ADJ,судов/NOUN
Первая/ADJ,мировая/ADJ,война/NOUN
немецких/ADJ,военно-морских/ADJ,баз/NOUN
германских/ADJ,торговых/ADJ,судов/NOUN
французское/ADJ,союзное/ADJ,командование/NOUN
Первоочередной/ADJ,стратегической/ADJ,задачей/NOUN
Второй/ADJ,основной/ADJ,задачей/NOUN
вражеских/ADJ,подводных/ADJ,лодок/NOUN
комплексная/ADJ,практическая/ADJ,подготовка/NOUN
широкомасштабной/ADJ,военной/ADJ,демонстрации/NOUN
Первую/ADJ,мировую/ADJ,войну/NOUN
лучшем/ADJ,военно-морском/ADJ,колледже/NOUN
русских/ADJ,воинских/ADJ,частей/NOUN
сегодняшнего/ADJ,вечернего/ADJ,спектакля/NOUN
временная/ADJ,верховная/ADJ,власть/NOUN
важнейшей/ADJ,идеологической/ADJ,константой/NOUN
современный/ADJ,российский/ADJ,историк/NOUN
бывшего/ADJ,Временного/ADJ,правительства/NOUN
новое/ADJ,российское/ADJ,правительство/NOUN
Чехословацкого/ADJ,национального/ADJ,совета/NOUN
Чехословацкий/ADJ,национальный/ADJ,совет/NOUN
Чехословацкий/ADJ,национальный/ADJ,совет/NOUN
новую/ADJ,государственную/ADJ,власть/NOUN
важное/ADJ,стратегическое/ADJ,значение/NOUN
колчаковским/ADJ,военным/ADJ,министром/NOUN
100-тысячную/ADJ,финскую/ADJ,армию/NOUN
отчаянного/ADJ,кадрового/ADJ,голода/NOUN
мирных/ADJ,русских/ADJ,граждан/NOUN
центральным/ADJ,большевистским/ADJ,правительством/NOUN
большевистского/ADJ,вооружённого/ADJ,восстания/NOUN
2-й/ADJ,отдельной/ADJ,бригады/NOUN
Чрезвычайной/ADJ,следственной/ADJ,комиссией/NOUN
современных/ADJ,российских/ADJ,историков/NOUN
действительный/ADJ,тайный/ADJ,советник/NOUN
небольшого/ADJ,семейного/ADJ,архива/NOUN
очередную/ADJ,строгую/ADJ,инструкцию/NOUN
высоких/ADJ,конечных/ADJ,результатов/NOUN
достойными/ADJ,трудовыми/ADJ,подарками/NOUN
вышестоящих/ADJ,партийных/ADJ,органов/NOUN
первичной/ADJ,партийной/ADJ,организации/NOUN
индивидуальной/ADJ,трудовой/ADJ,деятельности/NOUN
индивидуальной/ADJ,трудовой/ADJ,деятельности/NOUN
новый/ADJ,массовый/ADJ,производитель/NOUN
потенциальный/ADJ,индивидуальный/ADJ,производитель/NOUN
социалистических/ADJ,производственных/ADJ,отношений/NOUN
индивидуальной/ADJ,трудовой/ADJ,деятельности/NOUN
индивидуальную/ADJ,трудовую/ADJ,деятельность/NOUN
индивидуальной/ADJ,трудовой/ADJ,деятельности/NOUN
индивидуальной/ADJ,трудовой/ADJ,деятельности/NOUN
индивидуальной/ADJ,трудовой/ADJ,деятельности/NOUN
массовая/ADJ,анонимная/ADJ,обдираловка/NOUN
солидные/ADJ,молодые/ADJ,люди/NOUN
солнечных/ADJ,летних/ADJ,дней/NOUN
Возможные/ADJ,моральные/ADJ,изъяны/NOUN
индивидуальной/ADJ,трудовой/ADJ,деятельности/NOUN
большом/ADJ,балетном/ADJ,зале/NOUN
индивидуальной/ADJ,трудовой/ADJ,деятельности/NOUN
черных/ADJ,рабочих/ADJ,трико/NOUN
многочисленные/ADJ,политические/ADJ,образования/NOUN
Индивидуальная/ADJ,трудовая/ADJ,деятельность/NOUN
реалистическое/ADJ,экономическое/ADJ,мышление/NOUN
старинная/ADJ,Басманная/ADJ,больница/NOUN
Богоявленского/ADJ,патриаршего/ADJ,собора/NOUN
Богоявленского/ADJ,патриаршего/ADJ,собора/NOUN
Одесского/ADJ,холодильного/ADJ,института/NOUN
дополнительных/ADJ,энергетических/ADJ,затрат/NOUN
настоящий/ADJ,гидравлический/ADJ,домкрат/NOUN
дополнительная/ADJ,куполообразная/ADJ,полость/NOUN
сложных/ADJ,молекулярных/ADJ,образований/NOUN
сложных/ADJ,многоатомных/ADJ,ионов/NOUN
важных/ADJ,химических/ADJ,превращений/NOUN
магнитный/ADJ,изотопный/ADJ,эффект/NOUN
цивилизованному/ADJ,демократическому/ADJ,обществу/NOUN
единой/ADJ,мирной/ADJ,семьей/NOUN
великодержавной/ADJ,имперской/ADJ,политики/NOUN
разных/ADJ,языковых/ADJ,улиц/NOUN
досадное/ADJ,бытовое/ADJ,неудобство/NOUN
многонациональное/ADJ,социалистическое/ADJ,государство/NOUN
схожий/ADJ,подушевой/ADJ,доход/NOUN
крупными/ADJ,промышленными/ADJ,конгломератами/NOUN
прямых/ADJ,иностранных/ADJ,инвестиций/NOUN
эстонское/ADJ,экономическое/ADJ,чудо/NOUN
реальная/ADJ,заработная/ADJ,плата/NOUN
реальных/ADJ,трудовых/ADJ,расходов/NOUN
реальные/ADJ,трудовые/ADJ,издержки/NOUN
само/ADJ,российское/ADJ,правительство/NOUN
быстром/ADJ,экономическом/ADJ,росте/NOUN
тогдашний/ADJ,федеральный/ADJ,бюджет/NOUN
приятный/ADJ,деревянный/ADJ,запах/NOUN
Последнее/ADJ,армянское/ADJ,царство/NOUN
личным/ADJ,пустячным/ADJ,вопросом/NOUN
московского/ADJ,атеистического/ADJ,общества/NOUN
морское/ADJ,офицерское/ADJ,училище/NOUN
маленькие/ADJ,Железные/ADJ,кресты/NOUN
различные/ADJ,зарубежные/ADJ,газеты/NOUN
маленькие/ADJ,газовые/ADJ,камеры/NOUN
российский/ADJ,Первый/ADJ,канал/NOUN
известный/ADJ,киевский/ADJ,журналист/NOUN
другой/ADJ,обиженный/ADJ,голос/NOUN
регулярная/ADJ,общественная/ADJ,прививка/NOUN
маленькой/ADJ,нестрашной/ADJ,куклой/NOUN
типовых/ADJ,панельных/ADJ,домах/NOUN
долгосрочного/ADJ,инвестиционного/ADJ,подхода/NOUN
маленькая/ADJ,однокомнатная/ADJ,квартира/NOUN
качественных/ADJ,отделочных/ADJ,материалов/NOUN
полная/ADJ,официальная/ADJ,неизвестность/NOUN
разные/ADJ,неофициальные/ADJ,каналы/NOUN
либеральное/ADJ,налоговое/ADJ,законодательство/NOUN
большие/ADJ,денежные/ADJ,суммы/NOUN
скрытое/ADJ,хроническое/ADJ,заболевание/NOUN
длительные/ADJ,стрессовые/ADJ,ситуации/NOUN
ценнейших/ADJ,растительных/ADJ,веществ/NOUN
центральную/ADJ,нервную/ADJ,систему/NOUN
высшей/ADJ,нервной/ADJ,деятельности/NOUN
знаменитого/ADJ,местного/ADJ,знахаря/NOUN
центральную/ADJ,нервную/ADJ,систему/NOUN
дополнительных/ADJ,метильных/ADJ,групп/NOUN
Второй/ADJ,мировой/ADJ,войны/NOUN
тяжелейшего/ADJ,энергетического/ADJ,кризиса/NOUN
высшей/ADJ,нервной/ADJ,деятельности/NOUN
российского/ADJ,лесорубного/ADJ,движения/NOUN
Серьезный/ADJ,оперный/ADJ,театр/NOUN
Саратовского/ADJ,авиационного/ADJ,завода/NOUN
нетрадиционных/ADJ,технических/ADJ,проектов/NOUN
Первой/ADJ,мировой/ADJ,войной/NOUN
сферическими/ADJ,летательными/ADJ,аппаратами/NOUN
Второй/ADJ,мировой/ADJ,войны/NOUN
реактивного/ADJ,дисковидного/ADJ,самолета/NOUN
задней/ADJ,верхней/ADJ,поверхности/NOUN
медленного/ADJ,пограничного/ADJ,слоя/NOUN
большую/ADJ,подъемную/ADJ,силу/NOUN
маленький/ADJ,скоростной/ADJ,напор/NOUN
нижней/ADJ,передней/ADJ,части/NOUN
других/ADJ,летательных/ADJ,аппаратов/NOUN
активных/ADJ,шумопоглощающих/ADJ,материалов/NOUN
российских/ADJ,турбореактиных/ADJ,моторов/NOUN
плоским/ADJ,поворотным/ADJ,соплом/NOUN
Казанского/ADJ,авиационного/ADJ,института/NOUN
радиоуправляемой/ADJ,полутораметровой/ADJ,модели/NOUN
Саратовском/ADJ,авиационном/ADJ,заводе/NOUN
потенциальными/ADJ,китайскими/ADJ,заказчиками/NOUN
беспилотных/ADJ,летательных/ADJ,аппаратов/NOUN
новые/ADJ,летательные/ADJ,аппараты/NOUN
большой/ADJ,дорожный/ADJ,просвет/NOUN
огромный/ADJ,бутафорский/ADJ,барабан/NOUN
новой/ADJ,мобильной/ADJ,концепции/NOUN
высшим/ADJ,государственным/ADJ,интересам/NOUN
сиюминутном/ADJ,конъюнктурном/ADJ,понимании/NOUN
Романтический/ADJ,футуристический/ADJ,проект/NOUN
знаменитом/ADJ,советском/ADJ,враче/NOUN
невиданные/ADJ,политические/ADJ,высоты/NOUN
советской/ADJ,литературной/ADJ,элитой/NOUN
данной/ADJ,эпохальной/ADJ,беседы/NOUN
знаменитая/ADJ,редакционная/ADJ,статья/NOUN
Великое/ADJ,народное/ADJ,искусство/NOUN
крупным/ADJ,советским/ADJ,композитором/NOUN
выдающимся/ADJ,советским/ADJ,композитором/NOUN
скупое/ADJ,мужское/ADJ,объятие/NOUN
крупном/ADJ,горнолыжном/ADJ,курорте/NOUN
аутентичным/ADJ,скандинавским/ADJ,орнаментом/NOUN
альпийских/ADJ,горных/ADJ,лыж/NOUN
Агрессивный/ADJ,скандинавский/ADJ,телемарк/NOUN
спокойное/ADJ,длительное/ADJ,катание/NOUN
Высокая/ADJ,поперечная/ADJ,жесткость/NOUN
пригородных/ADJ,горнолыжных/ADJ,парков/NOUN
Международная/ADJ,лыжная/ADJ,федерация/NOUN
тяжелом/ADJ,межпланетном/ADJ,корабле/NOUN
реальных/ADJ,марсианских/ADJ,кораблей/NOUN
марсианский/ADJ,жилой/ADJ,модуль/NOUN
Второй/ADJ,транспортный/ADJ,корабль/NOUN
незаправленный/ADJ,взлетный/ADJ,модуль/NOUN
Третий/ADJ,грузовой/ADJ,корабль/NOUN
дополнительный/ADJ,жидкий/ADJ,водород/NOUN
600-дневного/ADJ,автономного/ADJ,проживания/NOUN
единственного/ADJ,аэродинамического/ADJ,щита/NOUN
дополнительной/ADJ,двигательной/ADJ,ступени/NOUN
общей/ADJ,жилой/ADJ,площадью/NOUN
колесными/ADJ,транспортными/ADJ,средствами/NOUN
большой/ADJ,герметичный/ADJ,марсоход/NOUN
марсианского/ADJ,углекислого/ADJ,газа/NOUN
простых/ADJ,химических/ADJ,реакций/NOUN
атмосферного/ADJ,углекислого/ADJ,газа/NOUN
атмосферного/ADJ,углекислого/ADJ,газа/NOUN
необходимыми/ADJ,научными/ADJ,образцами/NOUN
развитым/ADJ,правовым/ADJ,сознанием/NOUN
богатыми/ADJ,культурными/ADJ,традициями/NOUN
тогдашнего/ADJ,германского/ADJ,общества/NOUN
Грядущая/ADJ,германская/ADJ,революция/NOUN
тогдашняя/ADJ,большевицкая/ADJ,верхушка/NOUN
средними/ADJ,городскими/ADJ,слоями/NOUN
ночные/ADJ,факельные/ADJ,шествия/NOUN
Новые/ADJ,технические/ADJ,средства/NOUN
серьезному/ADJ,перспективному/ADJ,политику/NOUN
абсолютного/ADJ,парламентского/ADJ,большинства/NOUN
Немецкая/ADJ,народная/ADJ,партия/NOUN
Баварская/ADJ,народная/ADJ,партия/NOUN
прославленное/ADJ,германское/ADJ,студенчество/NOUN
больших/ADJ,политических/ADJ,группировок/NOUN
определенной/ADJ,общественной/ADJ,цели/NOUN
отдельных/ADJ,политических/ADJ,партий/NOUN
новая/ADJ,политическая/ADJ,ситуация/NOUN
полных/ADJ,политических/ADJ,прав/NOUN
реальная/ADJ,заработная/ADJ,плата/NOUN
современный/ADJ,немецкий/ADJ,историк/NOUN
последние/ADJ,предвоенные/ADJ,годы/NOUN
Великая/ADJ,национальная/ADJ,революция/NOUN
донского/ADJ,войскового/ADJ,старшины/NOUN
крепкого/ADJ,семейного/ADJ,хозяйства/NOUN
первой/ADJ,Турецкой/ADJ,кампании/NOUN
сельских/ADJ,телефонных/ADJ,станций/NOUN
большой/ADJ,турецкий/ADJ,отряд/NOUN
новой/ADJ,донской/ADJ,столицей/NOUN
других/ADJ,учебных/ADJ,заведений/NOUN
первая/ADJ,мужская/ADJ,гимназия/NOUN
многотысячная/ADJ,наполеоновская/ADJ,армия/NOUN
Московскую/ADJ,международную/ADJ,станцию/NOUN
излюбленный/ADJ,тактический/ADJ,прием/NOUN
боевого/ADJ,заслуженного/ADJ,генерала/NOUN
наземную/ADJ,спутниковую/ADJ,станцию/NOUN
выдающиеся/ADJ,боевые/ADJ,заслуги/NOUN
80-пушечный/ADJ,английский/ADJ,корабль/NOUN
каменного/ADJ,Вознесенского/ADJ,собора/NOUN
Восточном/ADJ,административном/ADJ,округе/NOUN
Центральном/ADJ,административном/ADJ,округе/NOUN
высокая/ADJ,заработная/ADJ,плата/NOUN
средняя/ADJ,заработная/ADJ,плата/NOUN
других/ADJ,развитых/ADJ,странах/NOUN
высокую/ADJ,заработную/ADJ,плату/NOUN
низкой/ADJ,заработной/ADJ,платой/NOUN
новых/ADJ,рабочих/ADJ,мест/NOUN
средняя/ADJ,заработная/ADJ,плата/NOUN
греческой/ADJ,телекоммуникационной/ADJ,компании/NOUN
минимальной/ADJ,заработной/ADJ,платы/NOUN
дополнительная/ADJ,материальная/ADJ,помощь/NOUN
ограниченными/ADJ,физическими/ADJ,возможностями/NOUN
всевозможные/ADJ,положительные/ADJ,свойства/NOUN
примитивного/ADJ,социального/ADJ,порядка/NOUN
американский/ADJ,социальный/ADJ,психолог/NOUN
сильное/ADJ,негативное/ADJ,переживание/NOUN
этакого/ADJ,фонового/ADJ,толка/NOUN
другой/ADJ,фоновый/ADJ,миф/NOUN
постоянную/ADJ,пропагандистскую/ADJ,кампанию/NOUN
тяжелейший/ADJ,когнитивный/ADJ,диссонанс/NOUN
новая/ADJ,телефонная/ADJ,станция/NOUN
привычному/ADJ,русскому/ADJ,греху/NOUN
большой/ADJ,внутренней/ADJ,работы/NOUN
былых/ADJ,ошибочных/ADJ,оценок/NOUN
очередных/ADJ,архитектурных/ADJ,начинаниях/NOUN
дичайшая/ADJ,прошлогодняя/ADJ,сплетня/NOUN
трехлетних/ADJ,кремлевских/ADJ,раздумий/NOUN
